NOME-DO-EVENTO,INSTITUICAO-PROMOTORA,LOCAL-DA-APRESENTACAO,CIDADE-DA-APRESENTACAO,NOME-DO-EVENTO-INGLES,APRESENTACAO-DE-TRABALHO_Id
"C3AD Workshop sobre supercomputação","LNCC","LNCC","`Rio de Janeiro","",0
"French Brazilian Workshop on Finite Element Methods in Fluids","LNCC","Rio de Janeiro","Rio de Janeiro","",1
"Workshop Latino-Americano de Mecânica dos Fluidos e Aplicações","LNCC","Novo Friburgo","Novo Friburgo","",2
"Workshop on Inovative Finite Element Methods","LNCC","","Rio de Janeiro","",3
"XIV Congresso Nacional de Matemática Aplicada e Computacional","Sociedade Brasileira de Matemática Aplicada e Computacional","Novo Friburgo","Novo Friburgo","",4
"XXII CNMAC Congresso Nacional de Matemática Aplicada e Computacional","Sociedade Brasileira de Matemática Aplicada e Computacional","Mendes Plaza Hotel","Santos","",5
"MECOM 88 IX Congresso latino americano e iberico sobre metodos computacionales para ingenieria","","Argentina","Cordoba","",6
"MECOM 91","","Santa Fé","Santa Fé","",7
"","UIA","Antwerpen","Antwerpen","",8
"","COPPY/UFRJ","UFRJ","Rio de Janeiro","",9
"","TICOM - UT Austin","University of Texas at Austin","Austin","",10
"","Katholieke Universiteit Leuven - Dept Toegepaste Wiskunde","Katholieke Universiteit Leuven","Leuven","",11
"","LNCC","LNCC","Rio de Janeiro","",12
"Seminário do LAC","INPE","INPE","São José dos Campos","",13
"Seminário do LAC","INPE","INPE","São José dos Campos","",14
"Seminário de Matemática Aplicada","ITA","ITA","São José dos Campos","",15
"","Faculdade de Engenharia Mecânica - UNICAMP","UNICAMP","Campinas","",16
"TICOM Summer seminar","University of Texas at Austin","Dept of Aer. Eng and Eng Mechanics","Austin","",17
"","Instituto de Matemática Estatística, Computação","UNICAMP","Campinas","",18
"","INRIA","INRIA - Sophia Antipolis","Antebes","",19
"","INRIA","INRIA Sophia Antipolis","Antebes","",20
"","Universidade Federal de Santa Catarina - Departamento de engenharia mecânica","Universidade Federal de Santa Catarina","Florianopolis","",21
"","IMECC- UNICAMP","UNICAMP","Campinas","",22
"I Escola de Computação Científica de Alto Desempenho","LNCC","LNCC","Rio de Janeiro","",23
"II Congresso de informática e telecommunicações de Mato Grosso","Universidade Federal de Mato Grosso","Universidade Federeal de Mato Grosso","Cuiabá","",24
"II encontro de usuários CENAPAD-SP","UNICAMP","CENAPAD - SP - UNICAMP","Campinas","",25
"Seminar of the computer science department of the university of Kentucky","University of Kentucky - department of computer science","University of Kentucky","Lexington","",26
"Workshop on computational modeling and applications","LNCC","LNCC","Petropolis","",27
"Finite Element Methods for three dimensional problems","University of Jyväskylä","Finlândia","Jyväskylä","",28
"C++/Java pour le calcul scientifique","Université de Pierre et Marie Cury","França","Paris","",29
"","KAIST","Department of Mechanical Engineering","Taejon","",30
"","KAIST","Department of Mechanical Engineering","Taejon","",31
"","","UFMG","Belo Horizonte","",32
"XXIX CILAMCE - Congresso Ibero Latino-Americano sobre Métodos Computacionais em Engenhartia","","","","",33
"XXIX CILAMCE - Congresso Ibero Latino-Americano sobre Métodos Computacionais em Engenhartia","","","","",34
"XXIX CILAMCE - Congresso Ibero Latino-Americano sobre Métodos Computacionais em Engenhartia","","","","",35
"XXXII Cilamce - Iberian Latin Amercian Congress on Computational Methods in Engineering","","","Ouro Preto","",36
"10th WORLD CONGRESS ON COMPUTATIONAL MECHANICS","Brazilian Association for Computational Methods in Engineering","Hotel Transamérica","São Paulo","",37
"10th WORLD CONGRESS ON COMPUTATIONAL MECHANICS","Brazilian Association for Computational Methods in Engineering","Hotel Transamérica","São Paulo","",38
"CILAMCE","ABMEC","Universidade de Ouro Preto","Ouro Preto","",39
"XXX CILAMCE","UFRJ","Búzios","","",40
"CILAMCE 2010 - XXXI Iberian-Latin-American Congress on Computational Methods in eingineering","","","Buenos Aires","",41
"XXXIV Ibero-Latin American Congress on Computational Methods in Engineering","Brazilian Association of Computational Methods in Engineering (Abmec)","Goiás","Pirinópolis","",42
"WCCM - World Congress on Computational Mechanics","IACM and ECCOMAS","Palace of Congresses of Catalonia","Barcelona","",43
"1st. Pan-American Congress on Computational Mechanics","MECOM","Hilton","Buenos Aires","",44
"1st. Pan-American Congress on Computational Mechanics","MECOM","Hilton","Buenos Aires","",45
"Seminar of the computer science department","Katholieke Universiteit Leuven","Campus Heverlee","Leuven","",46
