PARTICIPACAO-EM-PROJETO_Id,SEQUENCIA-FUNCAO-ATIVIDADE,FLAG-PERIODO,MES-INICIO,ANO-INICIO,MES-FIM,ANO-FIM,CODIGO-ORGAO,NOME-ORGAO,CODIGO-UNIDADE,NOME-UNIDADE,ATIVIDADES-DE-PARTICIPACAO-EM-PROJETO_Id
0,"6","ANTERIOR","","2011","","2015","007913000008","Faculdade de Engenharia Civil, Arquitetura e Urbanismo","","",0
1,"7","ANTERIOR","","2005","","2007","007913000008","Faculdade de Engenharia Civil, Arquitetura e Urbanismo","","",0
2,"8","ANTERIOR","","2002","","2004","007913000008","Faculdade de Engenharia Civil, Arquitetura e Urbanismo","","",0
3,"9","ANTERIOR","","1994","","2002","007913000008","Faculdade de Engenharia Civil, Arquitetura e Urbanismo","","",0
4,"10","ATUAL","","2013","","","007913000008","Faculdade de Engenharia Civil, Arquitetura e Urbanismo","","",0
5,"11","ANTERIOR","","2007","","2011","007913000008","Faculdade de Engenharia Civil, Arquitetura e Urbanismo","007913005000","Departamento de Estruturas",0
6,"12","ANTERIOR","","2007","","2011","007913000008","Faculdade de Engenharia Civil, Arquitetura e Urbanismo","","",0
7,"17","ANTERIOR","","2014","","2015","007913000008","Faculdade de Engenharia Civil, Arquitetura e Urbanismo","","",0
8,"18","ATUAL","","2016","","","007913000008","Faculdade de Engenharia Civil, Arquitetura e Urbanismo","","",0
9,"14","ANTERIOR","","1988","","1989","008701000991","Laboratório Associado de Computação e Matemática Aplicada","","",1
10,"13","ANTERIOR","","1989","","1992","008701000991","Laboratório Associado de Computação e Matemática Aplicada","","",1
11,"15","ANTERIOR","","1990","","1991","352201000999","Institut National de Recherche en Informatique et en Automatique","","",2
12,"16","ANTERIOR","","1997","","1998","137105000995","Civil Engineering Department","","",3
