NIVEL-DO-CURSO,TITULO,ANO,PAIS,IDIOMA,MEIO-DE-DIVULGACAO,HOME-PAGE-DO-TRABALHO,FLAG-RELEVANCIA,DOI,TITULO-INGLES,FLAG-DIVULGACAO-CIENTIFICA,CURSO-DE-CURTA-DURACAO-MINISTRADO_Id
"OUTRA","Adaptive refinement strategies for the finite element method","1989","Brasil","Inglês","IMPRESSO","","NAO","","","NAO",0
"OUTRA","Alguns conceitos da programação orientada para objetos utlizando a linguagem C++","1995","Brasil","Português","IMPRESSO","","NAO","","","NAO",1
"EXTENSAO","Introdução alinguagem de programação C++","1993","Brasil","Português","IMPRESSO","","NAO","","","NAO",2
"EXTENSAO","Introdução a linguagem de programação C++","1994","Brasil","Português","IMPRESSO","","NAO","","","NAO",3
"EXTENSAO","Aplicação de Programação Orientada para Objetos A Computação Paralela","1995","Brasil","Português","NAO_INFORMADO","","NAO","","","NAO",4
"OUTRA","Programação Orientada para Objetos Aplicada a Elementos Finitos","2005","Brasil","Português","NAO_INFORMADO","","NAO","","","NAO",5
"OUTRA","Palestrante: PZ: Um Programa de Elementos Finitos Orientado para Objetos HP-Adapatativo e sua Perspectiva de Utilização para a Solução de Problemas de Engenharia de Petróleo","2000","Brasil","Português","NAO_INFORMADO","","NAO","","","NAO",6
"OUTRA","Elementos Finitos Orientado a Objetos","2014","Brasil","Português","MEIO_DIGITAL","","NAO","","","NAO",7
"OUTRA","Programação orientada para objetos aplicada a computação científica","2000","Brasil","Português","NAO_INFORMADO","","NAO","","","NAO",8
"EXTENSAO","Programação para Auto CAD, utilizando ObjectARX","2002","Brasil","Português","OUTRO","","NAO","","","NAO",9
