OUTRAS-BANCAS-JULGADORAS_Id,SEQUENCIA-PRODUCAO,PARTICIPACAO-EM-BANCA-JULGADORA_Id
0,"209",0
1,"215",0
2,"376",0
3,"443",0
4,"444",0
5,"397",0
