PARTICIPACAO-EM-BANCA-DE-GRADUACAO_Id,SEQUENCIA-PRODUCAO,PARTICIPACAO-EM-BANCA-TRABALHOS-CONCLUSAO_Id
0,"429",0
1,"499",0
2,"500",0
