ARTIGO-PUBLICADO_Id,SEQUENCIA-PRODUCAO,ORDEM-IMPORTANCIA,ARTIGOS-PUBLICADOS_Id
0,"1","",0
1,"2","",0
2,"3","",0
3,"4","",0
4,"5","",0
5,"6","",0
6,"7","",0
7,"8","",0
8,"9","",0
9,"11","",0
10,"12","",0
11,"14","",0
12,"15","",0
13,"62","",0
14,"97","",0
15,"98","",0
16,"162","",0
17,"163","",0
18,"173","",0
19,"174","",0
20,"379","",0
21,"403","",0
22,"473","",0
23,"479","",0
24,"481","",0
25,"482","",0
26,"507","",0
27,"509","",0
28,"510","",0
29,"521","",0
30,"524","",0
31,"525","",0
32,"545","",0
33,"548","",0
34,"549","",0
35,"550","",0
36,"554","",0
37,"10","",0
