PALAVRA-CHAVE-1,PALAVRA-CHAVE-2,PALAVRA-CHAVE-3,PALAVRA-CHAVE-4,PALAVRA-CHAVE-5,PALAVRA-CHAVE-6,MESTRADO_Id,DOUTORADO_Id,POS-DOUTORADO_Id,LINHA-DE-PESQUISA_Id,TRABALHO-EM-EVENTOS_Id,ARTIGO-PUBLICADO_Id,CAPITULO-DE-LIVRO-PUBLICADO_Id,TEXTO-EM-JORNAL-OU-REVISTA_Id,OUTRA-PRODUCAO-BIBLIOGRAFICA_Id,ARTIGO-ACEITO-PARA-PUBLICACAO_Id,SOFTWARE_Id,TRABALHO-TECNICO_Id,APRESENTACAO-DE-TRABALHO_Id,CURSO-DE-CURTA-DURACAO-MINISTRADO_Id,ORGANIZACAO-DE-EVENTO_Id,ORIENTACOES-CONCLUIDAS-PARA-MESTRADO_Id,ORIENTACOES-CONCLUIDAS-PARA-DOUTORADO_Id,ORIENTACOES-CONCLUIDAS-PARA-POS-DOUTORADO_Id,OUTRAS-ORIENTACOES-CONCLUIDAS_Id,PARTICIPACAO-EM-BANCA-DE-DOUTORADO_Id,PARTICIPACAO-EM-CONGRESSO_Id,PARTICIPACAO-EM-SIMPOSIO_Id,ORIENTACAO-EM-ANDAMENTO-DE-DOUTORADO_Id
"Computacao Orientada Para Objetos","Metodos Adaptativos","","","","",,,,,45,,,,,,,,,,,,,,,,,,
"Escoamento em meios porosos","Elementos Finitos","","","","",,,,,46,,,,,,,,,,,,,,,,,,
"Escoamento em meios porosos","Metodos Adaptativos","Métodos Multigrid","","","",,,,,47,,,,,,,,,,,,,,,,,,
"Elementos Finitos","Computacao Orientada Para Objetos","Metodos Adaptativos","","","",,,,,48,,,,,,,,,,,,,,,,,,
"Elementos Finitos","Computação Paralela","Algebra linear","","","",,,,,49,,,,,,,,,,,,,,,,,,
"Sub estruturação","Computação Paralela","Elementos Finitos","","","",,,,,50,,,,,,,,,,,,,,,,,,
"Elementos Finitos","Análise estrutural","CAD","","","",,,,,51,,,,,,,,,,,,,,,,,,
"Elementos Finitos","Mecanismos flexiveis","computação orientada para objetos","","","",,,,,52,,,,,,,,,,,,,,,,,,
"Elementos Finitos","Métodos adaptativas","computação orientada para objetos","","","",,,,,53,,,,,,,,,,,,,,,,,,
"Elementos Finitos","Métodos adaptativas","Escoamento de fluídos","Meios porosos","","",,,,,54,,,,,,,,,,,,,,,,,,
"Elementos Finitos","Fraturamento hidráulico","","","","",,,,,55,,,,,,,,,,,,,,,,,,
"Análise estrutural","CAD","computação orientada para objetos","","","",,,,,56,,,,,,,,,,,,,,,,,,
"Análise de tensões","Placas e cascas","","","","",,,,,57,,,,,,,,,,,,,,,,,,
"Métodos adaptativas","Elementos Finitos","computação orientada para objetos","","","",,,,,58,,,,,,,,,,,,,,,,,,
"Finite element method","Discontinuous Galerkin","object oriented programming","","","",,,,,59,,,,,,,,,,,,,,,,,,
"Finite element method","adaptivity","","","","",,,,,60,,,,,,,,,,,,,,,,,,
"Finite element method","Computação Paralela","Programacao Orientada Para Objetos","","","",,,,,61,,,,,,,,,,,,,,,,,,
"Topography","","","","","",,,,,62,,,,,,,,,,,,,,,,,,
"Análise estrutural","Análise de tensões","","","","",,,,,64,,,,,,,,,,,,,,,,,,
"Dinamica dos Fluidos Compressiveis","Método dos elementos finitos","Escoamento Supersonico","","","",,,,,65,,,,,,,,,,,,,,,,,,
"Computação Paralela","Programação orientada para objetos","","","","",,,,,66,,,,,,,,,,,,,,,,,,
"adaptivity","Computacao Orientada Para Objetos","Elementos Finitos","","","",,,,,67,,,,,,,,,,,,,,,,,,
"computação orientada para objetos","Elementos Finitos","","","","",,,,,68,,,,,,,,,,,,,,,,,,
"computação orientada para objetos","Elementos Finitos","Métodos adaptativas","","","",,,,,69,,,,,,,,,,,,,,,,,,
"Elementos Finitos","Métodos adaptativas","Fraturamento hidráulico","","","",,,,,96,,,,,,,,,,,,,,,,,,
"Injeção de vapor","fluxo em reservatórios","método de volume de controle","","","",,,,,104,,,,,,,,,,,,,,,,,,
"Computação Paralela","Algebra linear","","","","",,,,,112,,,,,,,,,,,,,,,,,,
"Elementos Finitos","Elastoplastic","Fraturamento hidráulico","","","",,,,,120,,,,,,,,,,,,,,,,,,
"Elementos Finitos","Simulações Multifísicas","Poroelasticidade","","","",,,,,121,,,,,,,,,,,,,,,,,,
"Elementos Finitos","Fraturamento hidráulico","Elasticidade","","","",,,,,122,,,,,,,,,,,,,,,,,,
"Finite Elements","Hydraulic Fracturing","Elastoplasticity","","","",,,,,123,,,,,,,,,,,,,,,,,,
"Finite Elements","Elastoplastic","","","","",,,,,124,,,,,,,,,,,,,,,,,,
"Finite Elements","Well Stability","Elastoplastic","","","",,,,,125,,,,,,,,,,,,,,,,,,
"computação orientada para objetos","Métodos adaptativas","Elementos Finitos","","","",,,,,126,,,,,,,,,,,,,,,,,,
"Computacao Matricial","Elementos Finitos","Programacao Orientada Para Objetos","","","",,,,,,0,,,,,,,,,,,,,,,,,
"Dinamica dos Fluidos Compressiveis","Elementos Finitos","Mecanica dos Fluidos","Metodos Adaptativos","","",,,,,,7,,,,,,,,,,,,,,,,,
"Condicoes Limites","Dinamica dos Fluidos Compressiveis","Elementos Finitos","Metodos Adaptativos","Metodos Iterativos","",,,,,,8,,,,,,,,,,,,,,,,,
"Elementos Finitos","Escoamento Supersonico","Estimacao de Erro","Interacao Fluido Estrutura","Metodos Adaptativos","",,,,,,9,,,,,,,,,,,,,,,,,
"Dinamica dos Fluidos Compressiveis","Elementos Finitos","Escoamento Supersonico","Interacao Fluido Estrutura","Metodos Adaptativos","",,,,,,10,,,,,,,,,,,,,,,,,
"Elementos Finitos","Metodos Iterativos","Vectorizacao","","","",,,,,,11,,,,,,,,,,,,,,,,,
"Elementos Finitos","Computacao Orientada Para Objetos","","","","",,,,,,12,,,,,,,,,,,,,,,,,
"Computacao Orientada Para Objetos","","","","","",,,,,,14,,,,,,,,,,,,,,,,,
"Formulação co-rotacional","Elementos Finitos","Simulação de mecanismos","","","",,,,,,15,,,,,,,,,,,,,,,,,
"Escoamentos Bi-fásicos","Meios porosos","Método dos elementos finitos","","","",,,,,,16,,,,,,,,,,,,,,,,,
"Finite element method","object oriented programming","adaptivity","multigrid","substructuring","",,,,,,17,,,,,,,,,,,,,,,,,
"Discontinuous Galerkin","Mecanica dos Fluidos","Elementos Finitos","","","",,,,,,18,,,,,,,,,,,,,,,,,
"Discontinuous Galerkin","Elementos Finitos","","","","",,,,,,19,,,,,,,,,,,,,,,,,
"Computação Paralela","Elementos Finitos","","","","",,,,,,26,,,,,,,,,,,,,,,,,
"Interpolation","Finite element","Shape functions","Hierarchical element","p-element","p-version",,,,,,29,,,,,,,,,,,,,,,,,
"Finite Elements","Métodos híbridos","Métodos mistos","","","",,,,,,32,,,,,,,,,,,,,,,,,
"Condicoes Limites","Elementos Finitos","Estimacao de Erro","Metodos Adaptativos","Metodos Iterativos","",,,,,,37,,,,,,,,,,,,,,,,,
"Dinamica dos Fluidos Compressiveis","Elementos Finitos","Metodos Adaptativos","","","",,,,,,,0,,,,,,,,,,,,,,,,
"Dinamica dos Fluidos Compressiveis","Elementos Finitos","Metodos Adaptativos","","","",,,,,,,1,,,,,,,,,,,,,,,,
"Elementos Finitos","Estimacao de Erro","Mecanica Computacional","Metodos Adaptativos","","",,,,,,,2,,,,,,,,,,,,,,,,
"Dinamica dos Fluidos Compressiveis","Elementos Finitos","Metodos Adaptativos","","","",,,,,,,3,,,,,,,,,,,,,,,,
"Elementos Finitos","Metodos Iterativas","Preconditionamento","","","",,,,,,,4,,,,,,,,,,,,,,,,
"computação orientada para objetos","Elementos Finitos","","","","",,,,,,,5,,,,,,,,,,,,,,,,
"Elementos Finitos","Computação orientado para objetos","","","","",,,,,,,11,,,,,,,,,,,,,,,,
"Mecanica Computacional","","","","","",,,,,,,,0,,,,,,,,,,,,,,,
"Elementos Finitos","Dinamica dos Fluidos Compressiveis","","","","",,,,,,,,,0,,,,,,,,,,,,,,
"Hdiv Spaces","adaptivity","","","","",,,,,,,,,,1,,,,,,,,,,,,,
"computação orientada para objetos","Elementos Finitos","Métodos adaptativas","Sub estruturação","","",,,,,,,,,,,0,,,,,,,,,,,,
"computação orientada para objetos","Computação Paralela","","","","",,,,,,,,,,,1,,,,,,,,,,,,
"Preconditionamento","Elementos Finitos","Computação Paralela","","","",,,,,,,,,,,3,,,,,,,,,,,,
"Elementos Finitos","Vectorizacao","","","","",,,,,,,,,,,,0,,,,,,,,,,,
"Mecanica dos Fluidos","","","","","",,,,,,,,,,,,3,,,,,,,,,,,
"Dinamica dos Fluidos Compressiveis","Elementos Finitos","","","","",,,,,,,,,,,,4,,,,,,,,,,,
"Dinamica dos Fluidos Compressiveis","Elementos Finitos","","","","",,,,,,,,,,,,5,,,,,,,,,,,
"Elementos Finitos","","","","","",,,,,,,,,,,,,0,,,,,,,,,,
"Elementos Finitos","","","","","",,,,,,,,,,,,,3,,,,,,,,,,
"Elementos Finitos","Computacao Orientada Para Objetos","","","","",,,,,,,,,,,,,4,,,,,,,,,,
"Computacao Orientada Para Objetos","Metodos Adaptativos","","","","",,,,,,,,,,,,,5,,,,,,,,,,
"Metodos Adaptativos","Elementos Finitos","","","","",,,,,,,,,,,,,6,,,,,,,,,,
"Computacao Orientada Para Objetos","","","","","",,,,,,,,,,,,,7,,,,,,,,,,
"Computacao Orientada Para Objetos","Elementos Finitos","Metodos Adaptativos","","","",,,,,,,,,,,,,28,,,,,,,,,,
"Elementos Finitos","Computacao Orientada Para Objetos","","","","",,,,,,,,,,,,,29,,,,,,,,,,
"Injeção de vapor","fluxo em reservatórios","método de volume de controle","","","",,,,,,,,,,,,,36,,,,,,,,,,
"Elementos Finitos","Discontinuous Galerkin","Petrov Galerkin","","","",,,,,,,,,,,,,39,,,,,,,,,,
"Elementos Finitos","Discontinuous Galerkin","","","","",,,,,,,,,,,,,40,,,,,,,,,,
"Elastoplastic","Finite element method","Hp Finite Elements","","","",,,,,,,,,,,,,42,,,,,,,,,,
"Finite Elements","Elastoplasticity","Wellbore Stability","","","",,,,,,,,,,,,,43,,,,,,,,,,
"Finite Elements","Métodos multi-escalas","","","","",,,,,,,,,,,,,44,,,,,,,,,,
"Finite Elements","Hdiv Spaces","","","","",,,,,,,,,,,,,45,,,,,,,,,,
"Computacao Orientada Para Objetos","","","","","",,,,,,,,,,,,,,8,,,,,,,,,
"Computacao Orientada Para Objetos","","","","","",,,,,,,,,,,,,,,5,,,,,,,,
"Mecanica dos Fluidos","Metodos Iterativos","Preconditionamento","","","",,,,,,,,,,,,,,,,2,,,,,,,
"CAD","Elementos Finitos","Análise estrutural","computação orientada para objetos","","",,,,,,,,,,,,,,,,3,,,,,,,
"Análise de tensões","Elementos Finitos","Placas e cascas","","","",,,,,,,,,,,,,,,,4,,,,,,,
"Computacao Matricial","Algebra linear","computação orientada para objetos","","","",,,,,,,,,,,,,,,,5,,,,,,,
"Elementos Finitos","Métodos adaptativas","","","","",,,,,,,,,,,,,,,,6,,,,,,,
