IDIOMA,DESCRICAO-DO-IDIOMA,PROFICIENCIA-DE-LEITURA,PROFICIENCIA-DE-FALA,PROFICIENCIA-DE-ESCRITA,PROFICIENCIA-DE-COMPREENSAO,IDIOMAS_Id
"DE","Alemão","POUCO","RAZOAVELMENTE","POUCO","BEM",0
"EN","Inglês","BEM","BEM","BEM","BEM",0
"FR","Francês","BEM","BEM","BEM","BEM",0
"NL","Holandês","BEM","BEM","BEM","BEM",0
"PT","Português","BEM","BEM","BEM","BEM",0
