NATUREZA,TITULO,ANO,PAIS,IDIOMA,MEIO-DE-DIVULGACAO,HOME-PAGE-DO-TRABALHO,FLAG-RELEVANCIA,TIPO-PARTICIPACAO,FORMA-PARTICIPACAO,DOI,TITULO-INGLES,FLAG-DIVULGACAO-CIENTIFICA,PARTICIPACAO-EM-ENCONTRO_Id
"Encontro","Participação no IV Encontro Regional de Matemática Aplicada e Computacional","1988","Brasil","Português","NAO_INFORMADO","","NAO","","","","","NAO",0
"Encontro","Participação no I Encontro de Usuários do CENAPAD","1995","Brasil","Português","NAO_INFORMADO","","NAO","","","","","NAO",1
"Encontro","Participação no AIAA XXV Aerospace Sciences Meeting","1987","Estados Unidos","Inglês","NAO_INFORMADO","","NAO","","","","","NAO",2
"Encontro","SIAM 1983","1983","Estados Unidos","Inglês","NAO_INFORMADO","","NAO","","","","","NAO",3
