NOME_COMPLETO,NOME_PARA_CITACAO,FLAG_RESPONSAVEL,PROJETO_NOME
Luciana Gonzaga de Oliveira,"De OLIVEIRA, L. G.;Oliveira, Luciana G. de;de Oliveira, Luciana Gonzaga;OLIVEIRA, LUCIANA GONZAGA DE;OLIVEIRA, LUCIANA G.;GONZAGA DE OLIVEIRA, LUCIANA;DE OLIVEIRA, LUCIANA G.",SIM,Síntese de Substâncias Farmacológicas Bioativas
Luciana Gonzaga de Oliveira,"De OLIVEIRA, L. G.;Oliveira, Luciana G. de;de Oliveira, Luciana Gonzaga;OLIVEIRA, LUCIANA GONZAGA DE;OLIVEIRA, LUCIANA G.;GONZAGA DE OLIVEIRA, LUCIANA;DE OLIVEIRA, LUCIANA G.",SIM,Enzimas em síntese assimétrica
Gabriela Desiree Tormet,"TORMET, G. D.",NAO,Enzimas em síntese assimétrica
Dayane Christine Costa Moreira Coqueiro,"COQUEIRO, D. C. C. M.",NAO,Enzimas em síntese assimétrica
Lucas Henrique Colombo,"COLOMBO, L. H.",NAO,Enzimas em síntese assimétrica
Luciana Gonzaga de Oliveira,"De OLIVEIRA, L. G.;Oliveira, Luciana G. de;de Oliveira, Luciana Gonzaga;OLIVEIRA, LUCIANA GONZAGA DE;OLIVEIRA, LUCIANA G.;GONZAGA DE OLIVEIRA, LUCIANA;DE OLIVEIRA, LUCIANA G.",NAO,Síntese de Sondas Fluorogênicas para determinação de Atividade Enzimática em Microrganismos
Anita Jocelyne Marsaioli,"MARSAIOLI, A. J.",SIM,Síntese de Sondas Fluorogênicas para determinação de Atividade Enzimática em Microrganismos
Lu Shi Chen,"CHEN, L. S.",NAO,Síntese de Sondas Fluorogênicas para determinação de Atividade Enzimática em Microrganismos
Suzan P. de Vasconcelos,"VASCONCELOS, S. P.",NAO,Síntese de Sondas Fluorogênicas para determinação de Atividade Enzimática em Microrganismos
Simone M. Mantovani,"MANTOVANI, S. M.",NAO,Síntese de Sondas Fluorogênicas para determinação de Atividade Enzimática em Microrganismos
Georgiana F. da Cruz,"CRUZ, G. F.",NAO,Síntese de Sondas Fluorogênicas para determinação de Atividade Enzimática em Microrganismos
Luciana Gonzaga de Oliveira,"De OLIVEIRA, L. G.;Oliveira, Luciana G. de;de Oliveira, Luciana Gonzaga;OLIVEIRA, LUCIANA GONZAGA DE;OLIVEIRA, LUCIANA G.;GONZAGA DE OLIVEIRA, LUCIANA;DE OLIVEIRA, LUCIANA G.",SIM,Obtenção de uma lipase termoestável por Evolução Dirigida
Simone M. Mantovani,"MANTOVANI, S. M.",NAO,Obtenção de uma lipase termoestável por Evolução Dirigida
Patricia Tonon de Souza,Souza P.T.,NAO,Obtenção de uma lipase termoestável por Evolução Dirigida
Luciana Gonzaga de Oliveira,"De OLIVEIRA, L. G.;Oliveira, Luciana G. de;de Oliveira, Luciana Gonzaga;OLIVEIRA, LUCIANA GONZAGA DE;OLIVEIRA, LUCIANA G.;GONZAGA DE OLIVEIRA, LUCIANA;DE OLIVEIRA, LUCIANA G.",SIM,Evolução Dirigida de Enzimas
Simone M. Mantovani,"MANTOVANI, S. M.",NAO,Evolução Dirigida de Enzimas
Patricia Tonon de Souza,Souza P.T.,NAO,Evolução Dirigida de Enzimas
Luciana Gonzaga de Oliveira,"De OLIVEIRA, L. G.;Oliveira, Luciana G. de;de Oliveira, Luciana Gonzaga;OLIVEIRA, LUCIANA GONZAGA DE;OLIVEIRA, LUCIANA G.;GONZAGA DE OLIVEIRA, LUCIANA;DE OLIVEIRA, LUCIANA G.",SIM,Searching for Potential Antibiotic Factories in Actinomycetes (Streptomycetes) Isolated from Brazilian Territory
