NOME-DO-EVENTO,CODIGO-INSTITUICAO,NOME-INSTITUICAO,LOCAL-DO-EVENTO,CIDADE-DO-EVENTO,NOME-DO-EVENTO-INGLES,PARTICIPACAO-EM-SEMINARIO_Id
"Seminários de Síntese Orgânica e de Produtos Naturais","","","","São Paulo","",0
"11th Brazilian Meeting on Organic Synthesis","","","","Canela","",1
"28a. Reunião Anual da Sociedade Brasileira de Química","","","","Poços de Caldas","",2
