PARTICIPACAO-EM-CONGRESSO_Id,SEQUENCIA-PRODUCAO,PARTICIPACAO-EM-EVENTOS-CONGRESSOS_Id
0,"109",0
1,"13",0
2,"66",0
3,"73",0
4,"23",0
5,"203",0
6,"47",0
7,"74",0
8,"103",0
9,"24",0
10,"22",0
11,"28",0
12,"64",0
13,"60",0
14,"46",0
15,"25",0
16,"39",0
17,"125",0
18,"27",0
19,"26",0
20,"112",0
21,"102",0
22,"29",0
