ORIENTACAO-EM-ANDAMENTO-DE-DOUTORADO_Id,SEQUENCIA-PRODUCAO,ORIENTACOES-EM-ANDAMENTO_Id
0,"261",0
1,"187",0
2,"156",0
3,"251",0
