NATUREZA,TITULO,ANO,PAIS,IDIOMA,MEIO-DE-DIVULGACAO,HOME-PAGE-DO-TRABALHO,FLAG-RELEVANCIA,TIPO-PARTICIPACAO,FORMA-PARTICIPACAO,DOI,TITULO-INGLES,FLAG-DIVULGACAO-CIENTIFICA,PARTICIPACAO-EM-ENCONTRO_Id
"Encontro","","2011","Brasil","","NAO_INFORMADO","","NAO","","Ouvinte","","","NAO",0
"Encontro","Finding Potential Antibiotic Metabolites in Endophytic Streptomyces by Using Metabolic Probes","2010","Itália","","NAO_INFORMADO","","NAO","Apresentação Oral","Participante","","Finding Potential Antibiotic Metabolites in Endophytic Streptomyces by Using Metabolic Probes","NAO",1
"Encontro","Triagem por Moléculas Bioativas produzidas por Streptomyces Endofíticas Utilizando Provas Metabólicas","2010","Brasil","","NAO_INFORMADO","","NAO","Apresentação Oral","Participante","","Searching for bioactive molecules produced by endophytic Streptomyces using metabolic probes","NAO",2
"Encontro","A close look into microscopic beings and their factories machineries","2010","Espanha","","NAO_INFORMADO","","NAO","Apresentação Oral","Participante","","","NAO",3
