NATUREZA,TITULO,ANO,PAIS,IDIOMA,MEIO-DE-DIVULGACAO,HOME-PAGE-DO-TRABALHO,FLAG-RELEVANCIA,TIPO-PARTICIPACAO,FORMA-PARTICIPACAO,DOI,TITULO-INGLES,FLAG-DIVULGACAO-CIENTIFICA,PARTICIPACAO-EM-CONGRESSO_Id
"Congresso","","2009","Brasil","","NAO_INFORMADO","","NAO","","Ouvinte","","","NAO",0
"Congresso","Estudos Visando a Síntese dos Espirocetais das Espirofunginas A e B","2004","Brasil","","NAO_INFORMADO","www.sbq.org.br","NAO","Poster / Painel","Participante","","","NAO",1
"Congresso","","2007","Brasil","","NAO_INFORMADO","","NAO","","Ouvinte","","","NAO",2
"Congresso","Biotransformação de derivados do 1,2,4-butanotriol","2008","Brasil","","NAO_INFORMADO","http://sec.sbq.org.br/eventos/31rasbq/resumos/T0209-1.pdf","NAO","Poster / Painel","Participante","","","NAO",3
"Congresso","Sintese Total da (+)-Crocacina D","2005","Brasil","","NAO_INFORMADO","http\\www.sbq.org.br","NAO","Poster / Painel","Participante","","","NAO",4
"Congresso","MINING STREPTOMYCES GENOME FOR THIOPEPTIDE BIOSYNTHETIC PATHWAY","2015","Brasil","","NAO_INFORMADO","","NAO","Outras formas","Participante","","","NAO",5
"Congresso","High Throughput Screening for Detection of Hydrolitic Enzymes in Brazilian Microorganisms/Fluorescence Based Assays for detect Baeyer-Villiger Monooxigenases in Brazilian Microorganisms","2006","Brasil","","NAO_INFORMADO","","NAO","Poster / Painel","Participante","","","NAO",6
"Congresso","","2008","Brasil","","NAO_INFORMADO","","NAO","","Ouvinte","","","NAO",7
"Congresso","Sem apresentação de trabalho","2009","Alemanha","","NAO_INFORMADO","","NAO","Outras Formas","Participante","","","NAO",8
"Congresso","Síntese do Fragmento C11-C20 da Espirofungina A","2003","Brasil","","NAO_INFORMADO","www.sbq.org.br","NAO","Poster / Painel","Participante","","","NAO",9
"Congresso","Synthesis of the Spiroketal Core of Spirofungin A","2003","Brasil","","NAO_INFORMADO","","NAO","Poster / Painel","Participante","","","NAO",10
"Congresso","Towards the Total Synthesis of Pironetin","2000","Estados Unidos","","NAO_INFORMADO","","NAO","Poster / Painel","Participante","","","NAO",11
"Congresso","","2007","Canadá","","NAO_INFORMADO","","NAO","","Ouvinte","","","NAO",12
"Congresso","Increasing the enantioselectivity of Galactomyces geotrichum lipase 1 by CASTing","2007","Brasil","","NAO_INFORMADO","","NAO","Poster / Painel","Participante","","","NAO",13
"Congresso","Spirofungin B: a reassignment of Kiota's spiroketals","2005","Brasil","","NAO_INFORMADO","","NAO","Apresentação Oral","Participante","","","NAO",14
"Congresso","Synthesis of the C14-C27 Fragment of Crocacin A-C","2001","Brasil","","NAO_INFORMADO","","NAO","Poster / Painel","Participante","","","NAO",15
"Congresso","Utilização de triagem de alto desempenho para detecção de epóxido hidrolases em microrganismos brasileiros","2006","Brasil","","NAO_INFORMADO","www.sbq.org.br","NAO","Poster / Painel","Participante","","","NAO",16
"Congresso","","2010","Brasil","","NAO_INFORMADO","","NAO","","Ouvinte","","","NAO",17
"Congresso","Síntese do segmento C1-C12 dos agentes Imunossupressores Pironetin e NK-10958P","2000","Brasil","","NAO_INFORMADO","","NAO","Poster / Painel","Participante","","","NAO",18
"Congresso","Synthesis of a C2-C12 Pironetin Derivative","2001","Brasil","","NAO_INFORMADO","","NAO","Poster / Painel","Participante","","","NAO",19
"Congresso","Estudo das Condições Nutricionais e Avaliação da Produção de Policetídeos Macrolídicos Complexos por Linhagens de Streptomyces/Avaliação da produção de policetídeos macrolídicos por linhagens de Streptomyces sp. isoladas no Território nacional","2009","Brasil","","NAO_INFORMADO","","NAO","Poster / Painel","Participante","","","NAO",20
"Congresso","Avaliação da produção de policetídeos macrolídicos por linhagens de Streptomyces sp. isoladas no território nacional","2009","Brasil","","NAO_INFORMADO","http://sec.sbq.org.br/eventos/32rasbq/resumos/T0485-1.pdf","NAO","Poster / Painel","Participante","","","NAO",21
"Congresso","Estudos Visando a Síntese Total do Agente Imunossupressor Pironetin","1999","Brasil","","NAO_INFORMADO","","NAO","Poster / Painel","Participante","","","NAO",22
