CLASSIFICACAO-DO-EVENTO,NOME-DO-EVENTO,CIDADE-DO-EVENTO,ANO-DE-REALIZACAO,TITULO-DOS-ANAIS-OU-PROCEEDINGS,VOLUME,FASCICULO,SERIE,PAGINA-INICIAL,PAGINA-FINAL,ISBN,NOME-DA-EDITORA,CIDADE-DA-EDITORA,NOME-DO-EVENTO-INGLES,TRABALHO-EM-EVENTOS_Id
"NACIONAL","23a. Reunião Anual da Sociedade Brasileira de Química","Poços de Caldas","2000","Livro de Resumos","2","","","QO052","QO052","","","","",0
"NACIONAL","22a. Reunião Anual da Sociedade Brasileira de Química","Poços de Caldas","1999","Livro de Resumos","2","","","QO086","QO086","","","","",1
"NACIONAL","20a. Reunião Anual da sociedade Brasileira de Química","Poços de Caldas","1997","Livro de Resumos","1","","","ED051","ED051","","","","",2
"INTERNACIONAL","9th Brazilian Meeting on Organic Synthesis","Curitiba","2001","Abstracts","","","","142","142","","","","",3
"INTERNACIONAL","9th Brazilian Meeting on Organic Synthesis","Curitiba","2001","Abstracts","1","","","143","143","","","","",4
"INTERNACIONAL","10th Brazilian Meeting on Organic Synthesis","São Pedro","2003","Abstract Book","","","","97","97","","","","",5
"INTERNACIONAL","XXVI Congresso Latinoamericano de Quimica/27a. Reunião Anual da Sociedade Brasileira de Química","Salvador - Bahia","2004","Livro de Resumos","1","","","","","","","","",6
"NACIONAL","26a. Reunião da Sociedade Brasileira de Química","Poços de Caldas","2003","Livro de Resumos","1","","","QO154","QO154","","","","",7
"NACIONAL","28a. reunião Anual da Sociedade Brasileira de Química","Poços de caldas","2005","Livro de Resumos - QO122","","","","","","","","","",8
"INTERNACIONAL","11th Brazilian Meeting on Organic Synthesis","Canela - RS","2005","Abstracts Book","01","","","PS174","PS174","","","","",9
"INTERNACIONAL","11th Brazilian Meeting on Organic Synthesis","Canela - RS","2005","Abstracts Book","","","","PS173","PS173","","","","",10
"INTERNACIONAL","III Workshop de Biocatálise/II Encuentro Regional de Biocatálisis y Biotransformaciones","São Paulo","2006","Livro de resumos","","","","","","","","","",11
"INTERNACIONAL","III Workshop de Biocatálise/ II Encuentro Regional de Biacatálisis y Biotransformaciones","São Paulo","2006","Livro de Resumos","","","","","","","","","",12
"NACIONAL","29a. Reunião Anual da Sociedade Brasileira de Química","Águas de Lindóia","2006","Livro de Resumos","","","","","","","","","",13
"INTERNACIONAL","16th International Conference on Organic Synthesis","Mérida","2006","Abstract Book","","","","277","","","","","",14
"INTERNACIONAL","16th International Conference on Organic Synthesis","Mérida","2006","Abstract Book","1","","","278","","","","","",15
"INTERNACIONAL","10ht ALAGO Congress on Organic Geochemistry","Salvador","","Abstract Book","","","","","","","","","",16
"NACIONAL","30a. Reunião Anual da Sociedade Brasileira de Química","Águas de Lindóia","2007","Livro de Resumos","01","","","","","","","","",17
"NACIONAL","30a. Reunião Anual da Sociedade Brasileira de Química","Águas de Lindóia","2007","Livro de Resumos","1","","","","","","","","",18
"INTERNACIONAL","8th International Symposium on Biocatlysis and Biotransformations","Oviedo (Espanha)","2007","Biotrans 2007 Symposium","","","","P268","P268","","","","",19
"INTERNACIONAL","12th Brazilian Meeting on Organic Synthesis","Itapema - SC","2007","12th BMOS - Abstract Book","","","","PS 09","","","","","",20
"INTERNACIONAL","12th Brazilian Meeting on Organic Synthesis","Itapema","2007","12th BMOS Abstract Book","1","","","PS09","","","","","",21
"NACIONAL","31a. Reunião Anual da Sociedade Brasileira de Química","ÁQguas de Lindóia","2008","Livro de Resumos","1","","","QO157","QO157","","","","",22
"NACIONAL","32a. Reunião Anual da Sociedade Brasileira de Química","Fortaleza","2009","Livro de Resumos","1","","","PN109","","","","","",23
"LOCAL","XVII Congresso Interno de Iniciação Científica","Campinas","2009","XVII CONGRESSO INTERNO DE INICIAÇÃO CIENTÍFICA","","","","E0542","E0542","","","","",24
"LOCAL","XVII CONGRESSO INTERNO DE INICIAÇÃO CIENTÍFICA","Campinas","2009","XVII CONGRESSO INTERNO DE INICIAÇÃO CIENTÍFICA","","","","E0543","E0543","","","","",25
"LOCAL","Ciência e Artes nas Férias 2009","Campinas","2009","Ciência e Artes nas Férias 2009","","","","01","01","","","","",26
"INTERNACIONAL","Summer Schools in Applied Molecular Microbiology","Dubrovnik","2008","2nd Summer Schools in Applied Molecular Microbiology","","","","01","01","","","","",27
"INTERNACIONAL","Segundo Simposio Iberoamericano de Química Orgánica (SIBEAQO-II)","Santiago de Compostela","2010","Libro de Abstracts","1","1","","CO-20","70","","","","",28
"INTERNACIONAL","9th Symposium on the Latest Trends in Organic Synthesis","Gainesville","2000","Apresentação Oral e Poster","","","","","","","","","",29
