NUMERO-DE-VOLUMES,NUMERO-DE-PAGINAS,ISBN,NUMERO-DA-EDICAO-REVISAO,NUMERO-DA-SERIE,CIDADE-DA-EDITORA,NOME-DA-EDITORA,LIVRO-PUBLICADO-OU-ORGANIZADO_Id
"1","","9788566836103","1","","Campinas","",0
"1","240","9788582453858","1","4","Porto Alegre - RS","Revolução eBook",1
