SETOR-DE-ATIVIDADE-1,SETOR-DE-ATIVIDADE-2,SETOR-DE-ATIVIDADE-3,MESTRADO_Id,DOUTORADO_Id,LINHA-DE-PESQUISA_Id,TRABALHO-EM-EVENTOS_Id,ARTIGO-PUBLICADO_Id,PATENTE_Id,APRESENTACAO-DE-TRABALHO_Id,ORIENTACOES-CONCLUIDAS-PARA-MESTRADO_Id,OUTRAS-ORIENTACOES-CONCLUIDAS_Id,PARTICIPACAO-EM-CONGRESSO_Id,PARTICIPACAO-EM-SEMINARIO_Id,ORIENTACAO-EM-ANDAMENTO-DE-DOUTORADO_Id
"Pesquisa e desenvolvimento científico","Fabricação de produtos químicos","",,,,,,,19,,,,,
"Educação","Fabricação de produtos farmoquímicos e farmacêuticos","",,,,,,,20,,,,,
"Fabricação de Produtos Químicos Orgânicos","Fabricação de Produtos Farmacêuticos","",,,,,,,25,,,,,
"Fabricação de produtos farmoquímicos e farmacêuticos","Fabricação de produtos químicos","",,,,,,,,1,,,,
"Fabricação de produtos farmoquímicos e farmacêuticos","Fabricação de produtos químicos","",,,,,,,,2,,,,
"Fabricação de Produtos Químicos","","",,,,,,,,3,,,,
"Fabricação de Produtos Químicos Orgânicos","Fabricação de Produtos Farmacêuticos","",,,,,,,,,0,,,
"Fabricação de Produtos Químicos Orgânicos","Fabricação de Produtos Farmacêuticos","",,,,,,,,,2,,,
"Fabricação de Produtos Químicos Orgânicos","Produtos e Processos Biotecnológicos","Fabricação de Produtos Farmacêuticos",,,,,,,,,4,,,
"Fabricação de Produtos Químicos Orgânicos","Fabricação de Catalisadores","Produtos e Processos Biotecnológicos",,,,,,,,,5,,,
"Fabricação de Produtos Químicos","","",,,,,,,,,6,,,
"Fabricação de Produtos Químicos","","",,,,,,,,,7,,,
"Fabricação de produtos farmoquímicos e farmacêuticos","Fabricação de produtos químicos","",,,,,,,,,14,,,
"Fabricação de produtos farmoquímicos e farmacêuticos","Fabricação de produtos químicos","",,,,,,,,,16,,,
"Fabricação de produtos farmoquímicos e farmacêuticos","Fabricação de produtos químicos","",,,,,,,,,17,,,
"Fabricação de Produtos Químicos","","",,,,,,,,,23,,,
"Fabricação de Outros Produtos Químicos","Fabricação de Produtos Químicos Orgânicos","Fabricação de Produtos Farmacêuticos",,,,,,,,,,1,,
"Fabricação de Produtos Químicos Orgânicos","Fabricação de Produtos Farmacêuticos","Fabricação de Produtos Químicos",,,,,,,,,,4,,
"Fabricação de Outros Produtos Químicos","Fabricação de Produtos Químicos Orgânicos","Fabricação de Produtos Farmacêuticos",,,,,,,,,,9,,
"Fabricação de Produtos Químicos","Fabricação de Produtos Químicos Orgânicos","Fabricação de Produtos Farmacêuticos",,,,,,,,,,10,,
