OUTRAS-INFORMACOES-RELEVANTES,DADOS-GERAIS_Id
"Membro do Comitê Organizador Local do XXXI ANNUAL MEETING ON EVOLUTION, SYSTEMATICS AND MICROMOLECULAR ECOLOGY (XXXI RESEM)/5th BRAZILIAN CONFERENCE ON NATURAL PRODUCTS (5TH BCNP)
Secretária regional SBQ-Campinas Biênio 2014-2016
Laureada com o Grant "Para Mulheres na Ciência" Edição 2008 (L'Oreal/ABC/Unesco)
Aprovada em primeiro lugar em concurso público na área de Biotecnologia no Instituto de Biologia-UNICAMP (Setembro/2007)
Aprovada em segundo lugar em concurso público na área de Produtos Naturais no Instituto de Química-UNICAMP (Setembro/2007)
Contemplada com Auxílio à Pesquisa - Programa Jovem Pesquisador - FAPESP
Reserch Grant Support from International Foundation for Science (IFS) - Support for Young Researchers in Developing Countries Junho/2009",0
