NOME-DO-PREMIO-OU-TITULO,NOME-DA-ENTIDADE-PROMOTORA,ANO-DA-PREMIACAO,NOME-DO-PREMIO-OU-TITULO-INGLES,PREMIOS-TITULOS_Id
"Artigo em destaque no site da American Chemical Society, como um dos mais acessados do Journal of Organic Chemistry em 2005. http://pubs.acs.org/journals/joceah/promo/most_accessed/2005q12.html","ACS","2005","",0
"Aprovada em primeiro lugar em concurso público na área de Biotecnologia no Instituto de Biologia-UNICAMP","Instituto de Biologia - UNICAMP","2007","",0
"Aprovada em segundo lugar em concurso público na área de Produtos Naturais no Instituto de Química-UNICAMP","Instituto de Química - UNICAMP","2007","",0
"Bolsa-Auxílio (Grant) L'Oreal Brasil para as Mulheres na Ciência","L'Oreal Brasil / ABC / UNESCO","2008","",0
"Participante do 2009 - 59th Meeting of Nobel Laureates (Dedicated to Chemistry)","Lindau Council (Council for the Lindau Nobel Laureate Meetings)","2009","",0
"Mérito Científico","PRP/UNICAMP - XXII Congresso de Iniciação Científica da UNICAMP","2014","",0
"Certificate of Commendation - 2nd Meeting of the Brazilian Proteomics Society","Brazilian Proteomics Society","2014","",0
"Inside Cover: Site-Specific Modification of the Anticancer and Antituberculosis Polyether Salinomycin by Biosynthetic Engineering","ChemBioChem - A European Journal of Chemical Biology","2014","",0
"Participante do HUMBOLDT COLLOQUIUM - ?Research Excellence in a Globalised World ? Experiences and Challenges from a Brazilian-German Perspective","Alexander von Humboldt Foundation","2015","",0
"Promoção por Mérito Professor MS3-2","Unicamp","2015","",0
