PESQUISA-E-DESENVOLVIMENTO_Id,SEQUENCIA-FUNCAO-ATIVIDADE,FLAG-PERIODO,MES-INICIO,ANO-INICIO,MES-FIM,ANO-FIM,CODIGO-ORGAO,NOME-ORGAO,CODIGO-UNIDADE,NOME-UNIDADE,ATIVIDADES-DE-PESQUISA-E-DESENVOLVIMENTO_Id
0,"1","ANTERIOR","01","2007","06","2007","565701000992","Synthetic Organic Chemistry","","",0
1,"1","ANTERIOR","02","2005","09","2005","985604000991","Instituto de Química - UNICAMP","","",1
2,"1","ANTERIOR","06","2007","05","2008","007905000002","Instituto de Química","","",2
