INSTITUICAO-PROMOTORA,DURACAO-EM-SEMANAS,FLAG-EVENTO-ITINERANTE,FLAG-CATALOGO,LOCAL,CIDADE,ORGANIZACAO-DE-EVENTO_Id
"Departamento de Química Orgânica","","N","","Instituto de Química - UNICAMP","Campinas",0
"Divisão Produtos Naturais - Sociedade Brasileira de Química","","S","","São Paulo","Atibaia",1
"Brazilian Chemical Society","1","N","","Hotel e Centro de Convenções Tauá","Atibaia",2
