NATUREZA,TIPO,TITULO-DO-TRABALHO,ANO,PAIS,IDIOMA,HOME-PAGE,DOI,TITULO-DO-TRABALHO-INGLES,ORIENTACAO-EM-ANDAMENTO-DE-MESTRADO_Id
"Dissertação de mestrado","ACADEMICO","Estudos sobre a biossíntese da antimicina e manopeptimicina","2016","Brasil","Português","","","",0
"Dissertação de mestrado","ACADEMICO","Enzimas B como epóxido hidrolases enantioconvergentes","2015","Brasil","Português","","","",1
"Dissertação de mestrado","NAO_INFORMADO","Explorando o terpenoma de Streptomyces sp. CBMAI 2042","2017","Brasil","Português","","","",2
