NOME-DO-EVENTO,CODIGO-INSTITUICAO,NOME-INSTITUICAO,LOCAL-DO-EVENTO,CIDADE-DO-EVENTO,NOME-DO-EVENTO-INGLES,PARTICIPACAO-EM-CONGRESSO_Id
"2nd Brazilian Conference on Natural Products","","","","São Pedro","",0
"27a. Reunião Anual da Sociedade Brasileira de Química / XXVI Congreso Latinoamericano de Química","","","","Salvardor","",1
"2o. Congresso Brasileiro de Espectrometria de Massas","","","","Campinas","",2
"31ª Reunião Anual da Sociedade Brasileira de Química","","","","Águas de Lindóia","",3
"28a. Reunião Anual da Sociedade Brasileira de Química","","","","Minas Gerais","",4
"XXXI ANNUAL MEETING ON EVOLUTION, SYSTEMATICS AND MICROMOLECULAR ECOLOGY (RESEM) / 5th BRAZILIAN CONFERENCE ON NATURAL PRODUCTS (BCNP)","","","","Atibaia","",5
"16th International Conference on Organic Synthesis","","","","Mérida - México","",6
"60a Reunião Anual da Sociedade Brasileira para o Progresso da Ciência","","","","Campinas","",7
"59th Meeting of Nobel Laureates, dedicated to Chemistry","","","","Lindau","",8
"26ª Reunião Anual da Sociedade Brasileira de Química","","","","Minas Gerais","",9
"10th Brazilian Meeting on Organic Synthesis","","","","São Pedro","",10
"9th Symposium on the Latest Trends in Organic Synthesis","","","","Gainesville","",11
"1st Brazilian Conference on Natural Products","","","","São Pedro","",12
"12th Brazilian Meeting on Organic Synthesis","","","","Itapema - SC","",13
"11th Brazilian Meeting on Organic Synthesis","","","","Canela - Rio Grande do Sul","",14
"9th Brazilian Meeting on Organic Synthesis","","","","Curitiba","",15
"29a. Reunião Anual da Sociedade Brasileira de Química","","","","Águas de Lindóia","",16
"33a. Reunião Anual da Sociedade Brasileira de Química","","","","Águas de LIndóia","",17
"23ª Reunião Anual da Sociedade Brasileira de Química","","","","Poços de Caldas","",18
"9th Brazilian Meeting on Organic Synthesis","","","","Curitiba","",19
"XVII Congresso Interno de Iniciação Científica","","","","Campinas","",20
"32a. Reunião Anual da Sociedade Brasileira de Química","","","","Fortaleza","",21
"22ª Reunião Anual da Sociedade Brasileira de Química","","","","Poços de Caldas","",22
