PARTICIPACAO-EM-BANCA-DE-EXAME-QUALIFICACAO_Id,SEQUENCIA-PRODUCAO,PARTICIPACAO-EM-BANCA-TRABALHOS-CONCLUSAO_Id
0,"84",0
1,"88",0
2,"93",0
3,"110",0
4,"141",0
5,"142",0
6,"143",0
7,"144",0
8,"158",0
9,"159",0
10,"160",0
11,"167",0
12,"169",0
13,"173",0
14,"174",0
15,"176",0
16,"179",0
17,"180",0
18,"205",0
19,"206",0
20,"207",0
21,"214",0
22,"216",0
23,"217",0
24,"219",0
25,"221",0
26,"222",0
27,"226",0
28,"228",0
29,"232",0
30,"233",0
31,"234",0
32,"235",0
33,"236",0
34,"237",0
35,"238",0
36,"239",0
37,"240",0
38,"241",0
39,"243",0
40,"244",0
41,"245",0
42,"246",0
43,"247",0
44,"257",0
45,"258",0
46,"181",0
