PARTICIPACAO-EM-BANCA-DE-MESTRADO_Id,SEQUENCIA-PRODUCAO,PARTICIPACAO-EM-BANCA-TRABALHOS-CONCLUSAO_Id
0,"204",0
1,"208",0
2,"220",0
3,"230",0
4,"231",0
5,"255",0
6,"259",0
7,"92",0
