TITULO-DO-PERIODICO-OU-REVISTA,ISSN,VOLUME,FASCICULO,SERIE,PAGINA-INICIAL,PAGINA-FINAL,LOCAL-DE-PUBLICACAO,ARTIGO-PUBLICADO_Id
"Organic Letters","15237060","03","03","","3951","3954","Estados Unidos",0
"Organic Letters","15237060","05","03","","265","268","Estados Unidos",1
"Bioorganic & Medicinal Chemistry","09680896","12","16","","4467","4475","",2
"Journal of Organic Chemistry","00223263","70","","","2225","2234","",3
"ARKIVOC","14246376","vi","","","62","87","",4
"Tetrahedron Letters","00404039","47","2006","","2413","2418","",5
"Pure and Applied Chemistry","00334545","79","","","163","172","",6
"Organic Letters","15237060","6","","","2587","2590","",7
"Journal of Molecular Catalysis. B, Enzymatic","13811177","54","","","50","54","",8
"Journal of Molecular Catalysis. B, Enzymatic (Print)","13811177","52-53","","","173","177","",9
"Química Nova","01004042","31","","4","854","871","",10
"Química Nova (Impresso)","01004042","32","","3","742","756","",11
"Journal of Molecular Catalysis. B, Enzymatic","13811177","60","","2009","133","137","",12
"Biocatalysis and Biotransformation","10242422","28","","","122","129","",13
"Journal of the Brazilian Chemical Society (Impresso)","01035053","21","","8","1484","1489","",14
"Genome Announcements","21698287","2","","4","e00625-14","e00625-14","",15
"Applied Microbiology and Biotechnology","01757598","87","","1","319","329","",16
"ChemBioChem (Print)","14394227","15","","14","n/a","n/a","",17
"Química Nova (Impresso)","01004042","38","","","1","9","",18
"Biotechnology Advances","07349750","33","","5","394","411","",19
"Analytical Chemistry (Washington)","00032700","87","","17","150611180613005","6930","",20
"Angewandte Chemie (International ed. Print)","14337851","54","","46","13622","13625","",21
"Journal of the Brazilian Chemical Society (Impresso)","01035053","27","","8","1","","",22
"Genome Announcements","21698287","4","","","e00693-16","","",23
"JOURNAL OF THE BRAZILIAN CHEMICAL SOCIETY","01035053","27","","","1465","","",24
"Química Nova (Impresso)","01004042","36","","10","1577","1586","",25
