NATUREZA,TIPO,TITULO,ANO,PAIS,IDIOMA,HOME-PAGE,DOI,TITULO-INGLES,PARTICIPACAO-EM-BANCA-DE-MESTRADO_Id
"Mestrado","ACADEMICO","Sintese quimioenzimatica do levetiracetam e analogos.","2015","Brasil","Português","","","",0
"Mestrado","ACADEMICO","CARACTERIZAÇÃO DE EPÓXIDO HIDROLASES DO TIPO &#945;,&#946; E LEH DE ACTINOBACTÉRIAS DO GÊNERO Streptomyces","2015","Brasil","Português","","","",1
"Mestrado","ACADEMICO","APLICAÇÃO DE TÉCNICAS DE RMN PARA ANÁLISE DE DEGRADAÇÃO DO FÁRMACO EZETIMIBE","2016","Brasil","Português","","","",2
"Mestrado","ACADEMICO","Mapeamento do potencial biossintético em linhagens de Streptomyces","2011","Brasil","Português","","","",3
"Mestrado","ACADEMICO","Estudos sobre a clonagem e expressão do gene SEH1 (epóxido hidrolase) de Pichia stipitis EM Pichia pastoris","2012","Brasil","Português","","","",4
"Mestrado","ACADEMICO","Estudo biossintético de clusters relacionados ao metabolismo secundário de Streptomyces sp. B1","2017","Brasil","Português","","","",5
"Mestrado","ACADEMICO","CARACTERIZAÇÃO DE CELULASE RECOMBINANTE DE XANTHOMONAS AXONOPODIS PV. CITRI PARA APLICAÇÃO À HIDRÓLISE ENZIMÁTICA DO BAGAÇO DE LARANJA","2017","Brasil","Português","","","",6
"Mestrado","ACADEMICO","Aplicação de Fosfolipases A2 de Veneno de Serpentes em Biocatálise","2009","Brasil","Português","","","",7
