TITULO,ANO-DESENVOLVIMENTO,PAIS,HOME-PAGE,MEIO-DE-DIVULGACAO,FLAG-RELEVANCIA,TITULO-INGLES,FLAG-POTENCIAL-INOVACAO,PATENTE_Id
"US Provisional Application 61/240.811","2009","Estados Unidos","","NAO_INFORMADO","NAO","","NAO",0
"Vetor, Micro-organismo recombinante, método de obtenção de enzima epoxide-hidrolase recombinante e uso da mesma","2016","Brasil","","NAO_INFORMADO","NAO","","SIM",1
"MÉTODO DE OBTENÇÃO DE MICRO-ORGANISMO RECOMBINANTE, MICRO-ORGANISMO RECOMBINANTE, MÉTODO DE OBTENÇÃO DA VALINOMICINA, VALINOMICINA ASSIM OBTIDA E USO DA VALINOMICINA","2017","Brasil","","NAO_INFORMADO","NAO","","SIM",2
