NOME-DO-EVENTO,CODIGO-INSTITUICAO,NOME-INSTITUICAO,LOCAL-DO-EVENTO,CIDADE-DO-EVENTO,NOME-DO-EVENTO-INGLES,PARTICIPACAO-EM-ENCONTRO_Id
"III International Workshop on Organic Chemistry","","","","Campinas","",0
"ESF-COST High-Level Research Conference on Natural Products Chemistry, Biology and Medicine III","","","","Acquafredda di Maratea","",1
"1st Brazil-Spain Workshop on Organic Chemistry","","","","Campinas","",2
"2nd Brazil-Spain Workshop on Organic Chemistry","","","","Alicante","",3
