NATUREZA,TITULO-DO-TRABALHO,ANO-DO-TRABALHO,PAIS-DO-EVENTO,IDIOMA,MEIO-DE-DIVULGACAO,HOME-PAGE-DO-TRABALHO,FLAG-RELEVANCIA,DOI,TITULO-DO-TRABALHO-INGLES,FLAG-DIVULGACAO-CIENTIFICA,TRABALHO-EM-EVENTOS_Id
"RESUMO","Síntese do segmento C1-C12 dos agentes Imunossupresores Pironetin e NK-10958P","2000","Brasil","Português","IMPRESSO","","NAO","","","NAO",0
"RESUMO","Estudos Visando a Síntese Total do Agente Imunossupressor Pironetin","1999","Brasil","Português","IMPRESSO","","NAO","","","NAO",1
"RESUMO","Cinética de Fotodegradação do verde de Malaquita em Solução Aquosa e em Matriz de Poliestireno","1997","Brasil","Português","IMPRESSO","","NAO","","","NAO",2
"RESUMO","Synthesis of C14-C27 Fragment of Crocacin A-C","2001","Brasil","Inglês","IMPRESSO","","NAO","","","NAO",3
"RESUMO","Synthesis of a C2-C12 Pironetin Derivative","2001","Brasil","Inglês","IMPRESSO","","NAO","","","NAO",4
"RESUMO","Synthesis of the Spiroketal Core of Spirofungin A","2003","Brasil","Inglês","VARIOS","","NAO","","","NAO",5
"RESUMO","Estudos Visando a Síntese dos Espirocetais das Espirofunginas A e B","2004","Brasil","Português","VARIOS","www.sbq.org.br","NAO","","","NAO",6
"RESUMO","Síntese do Fragmento C11-C20 da Espirofungina A","2003","Brasil","Português","VARIOS","[http://www.sbq.org.br]","NAO","","","NAO",7
"RESUMO","Síntese Total da (+)-Crocacina D","2005","Brasil","Português","VARIOS","http\\www.sbq.org.br","NAO","","","NAO",8
"RESUMO","Spirofungin B: A Reassignment of Kiyota?s Spiroketals","2005","Brasil","Inglês","VARIOS","[http://www.ufsm.br/bmos/]","NAO","","","NAO",9
"RESUMO","Flourescence-Based Assays for Detect Biocatalyst Activity in Whole Cells","2005","Brasil","Inglês","VARIOS","[http://www.ufsm.br/bmos/]","NAO","","","NAO",10
"RESUMO","Avaliação da Atividade de Epóxido Hidrolases de Microrganismos do Petróleo da Bacia de Campos, RJ","2006","Brasil","Português","IMPRESSO","","NAO","","","NAO",11
"RESUMO","Ensaios de Triagem de Alto Desempenho para a detecção de Esterases e Lipases edm Bactérias do Petróleo da Bacia de Campos, RJ","2006","Brasil","Português","IMPRESSO","","NAO","","","NAO",12
"RESUMO","Utilização de Triagem de Alto Desempenho para Detecção de Epóxido Hidrolases em Microrganismos Brasileiros","2006","Brasil","Português","VARIOS","[http://http\\:www.sbq.org.br]","NAO","","","NAO",13
"RESUMO","High Throughput Screening for detection of hydrolitic enzymes in Brazilian microorganisms","2006","México","Inglês","IMPRESSO","","NAO","","","NAO",14
"RESUMO","Fluorescence-based assays for detect Baeyer-Villiger monooxigenases in Brazilian microorganisms","2006","México","Inglês","IMPRESSO","","NAO","","","NAO",15
"RESUMO_EXPANDIDO","APPLICATION OF HIGH THROUGHPUT SCREENING FOR THE DETECTION OF ENZYMATIC ACTIVITIES OF PETROLEUM BACTERIA FROM CAMPOS BASIN, BRAZIL","2006","Brasil","Inglês","VARIOS","","NAO","","","NAO",16
"RESUMO","Detecção e aplicação de esterases e lipases em microrganismos isolados da biodiversidade brasileira","2007","Brasil","Português","VARIOS","","NAO","","","NAO",17
"RESUMO","Síntese e desracemização do 1,2,4-butanotriol por biocatálise","2007","Brasil","Português","VARIOS","","NAO","","","NAO",18
"RESUMO","Whole Cell Epoxide Hydrolases "Quick E"","2007","Espanha","Inglês","IMPRESSO","","NAO","","","NAO",19
"RESUMO","1,2,4-butanetriol deracemization using whole cells of Candida Albicans CCT 0776","2007","Brasil","Inglês","VARIOS","","NAO","","","NAO",20
"RESUMO","Increasing the enantioselectivity of Galactomyces geotrichum lipase I by CASTing","2007","Brasil","Inglês","VARIOS","","NAO","","","NAO",21
"RESUMO","Biotransformação de derivados do 1,2,4-butanotriol","2008","Brasil","Português","VARIOS","[http://sec.sbq.org.br/eventos/31rasbq/resumos/T0209-1.pdf]","NAO","","","NAO",22
"RESUMO","Avaliação da produção de policetídeos macrolídicos por linhagens de Streptomyces sp. isoladas no território nacional","2009","Brasil","Português","VARIOS","[http://sec.sbq.org.br/eventos/32rasbq/resumos/T0485-1.pdf]","NAO","","","NAO",23
"RESUMO","Estudo das Condições Nutricionais e Avaliação da Produção de Policetídeos Macrolídicos Complexos por Linhagens de Streptomyces","2009","Brasil","Português","MEIO_DIGITAL","","NAO","","","NAO",24
"RESUMO","Avaliação da Produção de Policetídeos Macrolídicos por Linhagens de Streptomyces sp. Isoladas no Território Nacional","2009","Brasil","Português","MEIO_DIGITAL","","NAO","","","NAO",25
"RESUMO","Isolamento e Avaliação da Produção de Antibióticos por Linhagens de Streptomyces","2009","Brasil","Português","OUTRO","","NAO","","","NAO",26
"RESUMO","Searching for Polyketide and Nonribosomal Polypeptide Machineries in Brazilian Streptomyces strains","2008","Grã-Bretanha","Inglês","OUTRO","[http://www.jic.ac.uk/science/molmicro/summerschool/report2008.html]","NAO","","","NAO",27
"RESUMO","EXPLORING THE METABOLIC POTENCIAL FOR PRODUCING POLYKETIDES AND NONRIBOSOMAL POLYPEPTIDES IN BRAZILIAN STREPTOMYCES STRAINS","2010","Brasil","Português","NAO_INFORMADO","","NAO","","","NAO",28
"RESUMO","Towards the Total Synthesis of Pironetin","2000","Estados Unidos","Inglês","IMPRESSO","","NAO","","","NAO",29
