NOME-DO-EVENTO,INSTITUICAO-PROMOTORA,LOCAL-DA-APRESENTACAO,CIDADE-DA-APRESENTACAO,NOME-DO-EVENTO-INGLES,APRESENTACAO-DE-TRABALHO_Id
"","Sociedade Brasileira de Química","Sessao Coordenada de Química Organica - 28a. RASBQ","Pocos de Caldas","",0
"","11th Brazilian Meeting on Organic Synthesis","Short Presentations - 11th BMOS","Canela - Rio Grande do Sul","",1
"31ª Reunião Anual da Sociedade Brasileira de Química","Sociedade Brasileira de Química","Águas de Lindóia - São Paulo","Águas de Lindóia","",2
"Summer School in Applied Molecular Biology","John Innes Centre / Rudjer Bo?kovi&#263; Institut","Inter University Center Dubrovnick","Dubrovnick","",3
"Seminários Gerais em Química Orgânica","Instituto de Química - USP","Universidade Estadual de São Paulo","São Paulo","",4
"Fifth Regional Conference of Young Scientists of TWAS-ROLAC","TWAS-Regional Office for Latin America and the Caribean","Academia Brasileira de Ciências","Rio de Janeiro","",5
"Seminário do Departamento de Química Orgânica","Instituto de Química - UNICAMP","Instituto de Química","Campinas","",6
"VII Edição do Programa Ciência & Arte nas Férias","Pró-Reitoria de Pesquisa - UNICAMP","Universidade Estadual de Campinas","Campinas","",7
"XVII Congresso Interno de Iniciação Científica","Pró-Reitoria de Pesquisa","Universidade Estadual de Campinas","Campinas","",8
"XVII Congresso Interno de Iniciação Científica","Pró-Reitoria de Pesquisa - UNICAMP","Universidade estadual de Campinas","Campinas","",9
"Segundo Simpósio Iberoamericano de Química Orgánica - SIBEAQO-II","","Espanha","Santiago de Compostela","",10
"1st Brazil-Spain Workshop on Organic Chemistry","CAPES-DGU IQ-UNICAMP","Instituto de Química - UNICAMP","Campinas","",11
"2nd Brazil-Spain Workshop on Organic Chemistry","CAPES-DGU Instituto de Sintese Organica-Universidade de Alicante","Universidade de Alicante -Espanha","Alicante","",12
"ESF-COST High-Level Research Conference on Natural Products Chemistry, Biology and Medicine III","ESF-COST","Hotel Villa del Mare - Italy","Acquafredda di Maratea","",13
"34a. Reunião Anual da Sociedade Brasileira de Química","Divisão de Química Orgânica","Florianópolis","Florianópolis","",14
"34a. Reunião Anual da Sociedade Brasileira de Química","Sociedade Brasileira de Química","Santa Catarina","Florianópolis","",15
"ESF-EMBO Symposium Synthetic Biology of Antibiotic Production","ESF-EMBO","Espanha","Sant Feliu de Guixols","",16
"27o. Congresso Brasileiro de Microbiologia","Sociedade Brasileira de Microbiologia","Natal, RN","Natal","",17
"Simpósio Comemorativo 50 anos CPPN-NPPN-IPPN","Instituto de Pesquisas de Produtos Naturais","IPPN-UFRJ","Rio de Janeiro","",18
"VII Workshop on Biocatalysis and Biotransformations - 1o. Simposio Latinoamericano de Biocatálisis y Biotransformaciones","","Ferradura Resort","Armação dos Búzios - RJ","",19
" I Seminário Temático APGQ ?Mulheres na Ciência?","Associação dos Pós-Graduandos IQ-UNICAMP","IQ-UNICAMP","Campinas","",20
"#2 Natural Products Conference Interface of Science and Technology as Applied to Natural Product Research","Fusion Conferences Limited","Hungria","Budapeste","",21
"Seminário no Departamento de Bioquímica - Universidade de Cambridge - UK","","United Kingdom","Cambridge","",22
"HUMBOLDT COLLOQUIUM - Research Excellence in a Globalised World - Experiences and Challenges from a Brazilian-German Perspective, Alexander von Humboldt Foundation","Alexander von Humboldt Foundation","","São Paulo","",23
"XXXI ANNUAL MEETING ON EVOLUTION, SYSTEMATICS AND MICROMOLECULAR ECOLOGY (RESEM) / 5th BRAZILIAN CONFERENCE ON NATURAL PRODUCTS (BCNP)","Divisão de Produtos Naturais da Sociedade Brasileira de Química","São Paulo","Atibaia","",24
"","Seminários de Síntese Orgânica e Produtos Naturais","Instituto de Química - USP","São Paulo","",25
