SEQUENCIA-AREA-DE-ATUACAO,NOME-GRANDE-AREA-DO-CONHECIMENTO,NOME-DA-AREA-DO-CONHECIMENTO,NOME-DA-SUB-AREA-DO-CONHECIMENTO,NOME-DA-ESPECIALIDADE,AREAS-DE-ATUACAO_Id
"1","CIENCIAS_EXATAS_E_DA_TERRA","Química","Biossintese","",0
"2","CIENCIAS_BIOLOGICAS","Bioquímica","Biotecnologia","",0
"3","CIENCIAS_EXATAS_E_DA_TERRA","Química","Química Orgânica","Química dos Produtos Naturais",0
"4","CIENCIAS_BIOLOGICAS","Bioquímica","Biologia Molecular","",0
"5","CIENCIAS_BIOLOGICAS","Bioquímica","Biocatálise","",0
"6","CIENCIAS_BIOLOGICAS","Bioquímica","Síntese Orgânica","",0
