NOME-COMPLETO-DO-AUTOR,NOME-PARA-CITACAO,ORDEM-DE-AUTORIA,NRO-ID-CNPQ,TRABALHO-EM-EVENTOS_Id,ARTIGO-PUBLICADO_Id,LIVRO-PUBLICADO-OU-ORGANIZADO_Id,OUTRA-PRODUCAO-BIBLIOGRAFICA_Id,PATENTE_Id,PROCESSOS-OU-TECNICAS_Id,APRESENTACAO-DE-TRABALHO_Id,ORGANIZACAO-DE-EVENTO_Id
"Lu Shi Chen","CHEN, L. S.","8","8660931786040886",11,,,,,,,
"Luciana Gonzaga de Oliveira","De OLIVEIRA, L. G.;Oliveira, Luciana G. de;de Oliveira, Luciana Gonzaga;OLIVEIRA, LUCIANA GONZAGA DE;OLIVEIRA, LUCIANA G.;GONZAGA DE OLIVEIRA, LUCIANA;DE OLIVEIRA, LUCIANA G.","1","2259584579907307",12,,,,,,,
"Suzan P. de Vasconcelos","VASCONCELOS, S. P.","2","",12,,,,,,,
"Simone M. Mantovani","MANTOVANI, S. M.","3","3757023450938992",12,,,,,,,
"Georgiana F. da Cruz","CRUZ, G. F.","4","",12,,,,,,,
"Lu Shi Chen","CHEN, L. S.","5","8660931786040886",12,,,,,,,
"Valéria M. de Oliveira","OLIVEIRA, V. M.","6","",12,,,,,,,
"Eugênio V. dos Santos Neto","SANTOS, E. V.","7","",12,,,,,,,
"Anita Jocelyne Marsaioli","MARSAIOLI, A. J.","8","6882578512943651",12,,,,,,,
"Simone M. Mantovani","MANTOVANI, S. M.","1","3757023450938992",13,,,,,,,
"Lu Shi Chen","CHEN, L. S.","2","8660931786040886",13,,,,,,,
"Suzan P. de Vasconcelos","VASCONCELOS, S. P.","3","",13,,,,,,,
"Georgiana F. da Cruz","CRUZ, G. F.","4","",13,,,,,,,
"Luciana Gonzaga de Oliveira","De OLIVEIRA, L. G.;Oliveira, Luciana G. de;de Oliveira, Luciana Gonzaga;OLIVEIRA, LUCIANA GONZAGA DE;OLIVEIRA, LUCIANA G.;GONZAGA DE OLIVEIRA, LUCIANA;DE OLIVEIRA, LUCIANA G.","5","2259584579907307",13,,,,,,,
"Anita Jocelyne Marsaioli","MARSAIOLI, A. J.","6","6882578512943651",13,,,,,,,
"Luciana Gonzaga de Oliveira","De OLIVEIRA, L. G.;Oliveira, Luciana G. de;de Oliveira, Luciana Gonzaga;OLIVEIRA, LUCIANA GONZAGA DE;OLIVEIRA, LUCIANA G.;GONZAGA DE OLIVEIRA, LUCIANA;DE OLIVEIRA, LUCIANA G.","1","2259584579907307",14,,,,,,,
"Simone M. Mantovani","MANTOVANI, S. M.","2","3757023450938992",14,,,,,,,
"Suzan P. de Vasconcelos","VASCONCELOS, S. P.","3","",14,,,,,,,
"Georgiana F. da Cruz","CRUZ, G. F.","4","",14,,,,,,,
"Anita Jocelyne Marsaioli","MARSAIOLI, A. J.","5","6882578512943651",14,,,,,,,
"Luciana Gonzaga de Oliveira","De OLIVEIRA, L. G.;Oliveira, Luciana G. de;de Oliveira, Luciana Gonzaga;OLIVEIRA, LUCIANA GONZAGA DE;OLIVEIRA, LUCIANA G.;GONZAGA DE OLIVEIRA, LUCIANA;DE OLIVEIRA, LUCIANA G.","1","2259584579907307",15,,,,,,,
"Georgiana F. da Cruz","CRUZ, G. F.","2","",15,,,,,,,
"Suzan P. de Vasconcelos","VASCONCELOS, S. P.","3","",15,,,,,,,
"Simone M. Mantovani","MANTOVANI, S. M.","4","3757023450938992",15,,,,,,,
"Anita Jocelyne Marsaioli","MARSAIOLI, A. J.","5","6882578512943651",15,,,,,,,
"Georgiana F. da Cruz","CRUZ, G. F.","1","",16,,,,,,,
