NATUREZA,TITULO,ANO,PAIS,IDIOMA,HOME-PAGE,DOI,TITULO-INGLES,PARTICIPACAO-EM-BANCA-DE-EXAME-QUALIFICACAO_Id
"Exame de qualificação de mestrado","Aplicação de Fosfolipases A2 de Veneno de Serpentes em Biocatálise","2008","Brasil","Português","","","",0
"Exame de qualificação de doutorado","O Desenho de Moléculas Pequenas para Interação com Enzimas","2009","Brasil","Português","","","",1
"Exame de qualificação de doutorado","Catalisadores Híbridos: Conceitos e Aplicações em Síntese","2009","Brasil","Português","","","",2
"Exame de qualificação de doutorado","Novas Metodologias não Enzimáticas de Redução Enantiosseletiva de Compostos Carbonílicos","2009","Brasil","Português","","","",3
"Exame de qualificação de doutorado","Detecção da atividade enzimática da microbiota da pelo humana e a modificação de componentes de fragrâncias","2011","Brasil","Português","","","",4
"Exame de qualificação de doutorado","Comunicação química de abelhas sem ferrão e formiga lava-pés brasileiras","2010","Brasil","Português","","","",5
"Exame de qualificação de doutorado","Uso de espectrometria de massas e mobilidade iônica na caracterização de peptídeos provenientes de experimentos de ligação cruzada","2010","Brasil","Português","","","",6
"Exame de qualificação de doutorado","A síntese orgânica como ferramenta na comprovação de vias biossintéticas: O caso específico das diels-alderases","2010","Brasil","Português","","","",7
"Exame de qualificação de doutorado","Atividade do extrato hidroalcoolico das folhas de Arrabidaea chica Verlot em células epiteliais, pré-osteoblastos e Streptococcus mutans submetidos ao tratamento com bisfosfonato","2013","Brasil","Português","","","",8
"Exame de qualificação de doutorado","Análise Funcional de Enzimas de Interesse Biotecnológico","2013","Brasil","Português","","","",9
"Exame de qualificação de doutorado","Caracterização, imunodetecção e quantificação da expressão de proteínas relacionadas a patogenicidade de Xylella Fastidiosa","2013","Brasil","Português","","","",10
"Exame de qualificação de doutorado","Caracterização do Domínio C-terminal da Hsp90 humana e das Co-chaperonas Tom70 e Hop","2011","Brasil","Português","","","",11
"Exame de qualificação de doutorado","Análise da estrutura genômica de regiões do genoma do fungo Trichoderma harzianum contendo genes envolvidos na produção de enzimas com atividade celulolítica","2014","Brasil","Português","","","",12
"Exame de qualificação de mestrado","ESTUDO DA COMPOSIÇÃO QUÍMICA E AVALIAÇÃO DA ATIVIDADE ANTIPROLIFERATIVA DO ÓLEO ESSENCIAL DE ALDAMA ARENARIA BAKER (Sin.: Viguiera arenaria)","2013","Brasil","Português","","","",13
"Exame de qualificação de doutorado","ESTUDOS VISANDO A SÍNTESE DO ALCALÓIDES (±)- PARVIESTEMOAMIDA. SÍNTESE FORMAL DA (±)-ESTEMOAMIDA E (±)-9-epi- ESTEMOAMIDA","2014","Brasil","Português","","","",14
"Exame de qualificação de doutorado","UMA INTERPRETAÇÃO CRITICA DAS PRINCIPAIS TÉCNICAS ANALÍTICAS EMPREGADAS NA AVALIAÇÃO DE BIOMARCADORES TUMORAIS","2013","Brasil","Português","","","",15
"Exame de qualificação de doutorado","ORIGEM E EVOLUÇÃO DA BIOSSÍNTESE DE ISOPRENÓIDES, ESTEROIDES E LIPÍDEOS DE MEMBRANA EM MICROORGANISMOS","2014","Brasil","Português","","","",16
"Exame de qualificação de doutorado","ESTRUTURA, FUNÇÃO E REGULAÇÃO DE METALO E SERINO PROTEASES","2013","Brasil","Português","","","",17
"Exame de qualificação de mestrado","Identificação de uma T1PKS-transATPKS-NRPS em streptomyces SP via genome minig.","2015","Brasil","Português","","","",18
"Exame de qualificação de doutorado","Monitoramento de reações orgânicas empregando a espectroscopia de RMN ultra rápida (UF-NMR SPECTROSCOPY).","2015","Brasil","Português","","","",19
"Exame de qualificação de doutorado","Produtos naturais de origem marinha: Química e bioatividade","2015","Brasil","Português","","","",20
"Exame de qualificação de doutorado","Caracterização de Três Fatores de Transcrição Pertencentes à Família LysR de Xylella fastidiosa","2014","Brasil","Português","","","",21
"Exame de qualificação de doutorado","Explorando novas aplicações para a técnica de espectrometria de massas com ionização por dessorção a laser ? LDI-MS","2016","Brasil","Português","","","",22
"Exame de qualificação de mestrado","APLICAÇÃO DE TÉCNICAS DE RMN PARA ANÁLISE DE DEGRADAÇÃO DO FÁRMACO EZETIMIBE","2016","Brasil","Português","","","",23
"Exame de qualificação de doutorado","NOVAS ABORDAGENS PARA LIGAÇÃO CRUZADA EM PROTEÔMICA ESTRUTURAL","2016","Brasil","Português","","","",24
"Exame de qualificação de doutorado","Métodos de Produção de Insumos Químicos Biorenováveis","2016","Brasil","Português","","","",25
"Exame de qualificação de doutorado","Radiofrequency magnetic field effects on chemical reaction yields","2016","Brasil","Português","","","",26
"Exame de qualificação de doutorado","Análise do transcriptoma de Trichoderma harzianum para a bioprospecção de enzimas hidrolíticas","2014","Brasil","Português","","","",27
"Exame de qualificação de doutorado","Processos Biocatalíticos aplicando epóxido hidrolases, óxido redutases e transminases","2014","Brasil","Português","","","",28
"Exame de qualificação de doutorado","Caracterização e interação do domínio C-terminal da chaperona Hsp90 humana e das co-chaperonas Tom 70 e Hop","2010","Brasil","Português","","","",29
"Exame de qualificação de doutorado","Ecologia química de Melipona quadrifasciata Lepeletier, Scaptotrigona aff. depilis Moure e Solenopsis saevissima Smith","2010","Brasil","Português","","","",30
"Exame de qualificação de doutorado","Síntese formal dos policetídeos bicíclicos salinecetais A e B","2012","Brasil","Português","","","",31
"Exame de qualificação de doutorado","Reações de arilação de Heck com sais de arenodiazônio : estudos metodológicos e aplicações nas sínteses de compostos bioativos","2012","Brasil","Português","","","",32
"Exame de qualificação de doutorado","Síntese e avaliação biológica de potenciais inibidores de COX-2, a partir de adutos de Morita-Baylis-Hillman","2013","Brasil","Português","","","",33
"Exame de qualificação de doutorado","Morita-Baylis-Hillman em síntese : diversidade estrutural e avaliação biológica de espiro-hexadienonas","2013","Brasil","Português","","","",34
"Exame de qualificação de mestrado","Mapeamento do potencial biossintético em linhagens de Streptomyces","2011","Brasil","Português","","","",35
"Exame de qualificação de mestrado","Estudos sobre a clonagem e expressão do gene SEH1 (epóxido hidrolase) de Pichia stipitis EM Pichia pastoris","2011","Brasil","Português","","","",36
"Exame de qualificação de mestrado","Análise conformacional de alguns aminoácidos e ésteres metílicos de aminoácidos","2011","Brasil","Português","","","",37
"Exame de qualificação de mestrado","Novas abordagens mecanísticas da reação de Morita-Baylis-Hillman (aza, clássica e assimétrica) por espectrometria de massas","2014","Brasil","Português","","","",38
"Exame de qualificação de doutorado","Síntese assimétrica e multi-etapas em fluxo contínuo","2013","Brasil","Português","","","",39
