NOME-DO-EVENTO,CODIGO-INSTITUICAO,NOME-INSTITUICAO,LOCAL-DO-EVENTO,CIDADE-DO-EVENTO,NOME-DO-EVENTO-INGLES,PARTICIPACAO-EM-SIMPOSIO_Id
"HUMBOLDT COLLOQUIUM - Research Excellence in a Globalised World - Experiences and Challenges from a Brazilian-German Perspective, Alexander von Humboldt Foundation","","","","São Paulo","",0
"Segundo Simposio Iberoamericano de Química Orgánica (SIBEAQO-II)","","","","Santiago de Compostela","",1
"ESF-EMBO Symposium Synthetic Biology of Antibiotic Production","","","","Sant Feliu de Guixols","",2
