TITULO,FLAG_ATIVA,OBJETIVOS
Engenharia de Software,SIM,"Estudo de métodos, processos, arquitetura de software para sistemas orientados a objetos e baseados em componentes."
Ferramentas e Ambientes de Desenvolvimento de Software,NAO,NULL
Linhas de produtos de software,NAO,NULL
Arquitetura de software,NAO,NULL
Desenvolvimento baseado em Componentes,NAO,NULL
Tolerância a Falhas; Tratamento de Exceções,NAO,NULL
arquiteturas orientadas a serviços,NAO,NULL
