EMISSORA,TEMA,DATA-DA-APRESENTACAO,DURACAO-EM-MINUTOS,CIDADE,PROGRAMA-DE-RADIO-OU-TV_Id
"Rádio Educadora da Bahia","Lançamento do cd "agora o céu vai ficando claro"","10082010","20","",0
"Rádio CBN","Lançamento do cd "agora o céu vai ficando claro"","06042010","20","",1
"SESC Vila Mariana","","12092012","180","",2
"","","05102012","120","",3
"UNIVESP TV","Entrevista sobre o trabalho desenvolvido na tese "Da intenção ao gesto interpretativo - análise semiótica do canto popular brasileiro"","05052013","60","",4
"Internet","","11112013","120","",5
"Rádio Bandeirantes","Entrevista sobre o lançamento do cd Multiplicar-se única - canções de Tom Zé","02012016","30","",6
"II Encontro de Estudos do Canto e da Canção Popular","Ensino do canto popular na universidade","21052015","90","",7
"Radio Cultura AM São Paulo","Entrevista sobre o lançamento do cd Multiplicar-se única - canções de Tom Zé","30122015","30","",8
"Rádio Cultura FM / Radio Cultura Brasil AM","Regina Machado no Supertônica","11032017","60","",9
"Radio Cultura FM de Belém do Pará","Lançamento do cd "agora o céu vai ficando claro"","03082010","60","Belem do Pará",10
"Radio Difusora de Jundiaí","Lançamento do cd "agora o céu vai ficando claro"","07082010","60","Jundiaí",11
"Rádio USP","Lançamento do cd "agora o céu vai ficando claro"","21092010","60","São Paulo",12
"Rádio Eldorado AM","Lançamento do cd "agora o céu vai ficando claro"","24092010","60","São Paulo",13
"Rádio Cultura AM de São Paulo","Lançamento do cd "agora o céu vai ficando claro"","27092010","30","São Paulo",14
"All TV","Lançamento do cd "agora o céu vai ficando claro"","03092010","60","São Paulo",15
"Rádio Cultura de Porto alegre","Lançamento do cd "agora o céu vai ficando claro"","22032010","60","",16
"TV Cultura","CD Multiplicar-se única - canções de Tom Zé","17072016","30","",17
