INSTITUICAO-PROMOTORA,DURACAO-EM-SEMANAS,FLAG-EVENTO-ITINERANTE,FLAG-CATALOGO,LOCAL,CIDADE,ORGANIZACAO-DE-EVENTO_Id
"Canto do Brasil Produção Criação e Ensino Musical","16","N","","Auditorio Canto do Canto","São Paulo",0
"Instituto de Artes da UNICAMP","1","N","","Auditótio do Instituto de Artes da UNICAMP","Campinas",1
"Instituto de Artes da Universidade Estadual de Campinas","1","N","","Instituto de Artes da Unicamp; Casa do Lago (Unicamp); Concha Acústica da Lagoa do Taquaral","Campinas",2
