NOME-DO-EVENTO,CODIGO-INSTITUICAO,NOME-INSTITUICAO,LOCAL-DO-EVENTO,CIDADE-DO-EVENTO,NOME-DO-EVENTO-INGLES,PARTICIPACAO-EM-CONGRESSO_Id
"VI Congresso da IASPM-AL","","","","Buenos Aires","",0
"III Congresso Internacional da Associação Brasileira de Enomusicologia","","","","São Paulo","",1
"I Encontro Brasileiro de Música Popular na Universidade","","","","Porto Alegre","",2
"XXVII Congresso da ANPPOM","","","","Campinas","",3
"XXIII Congresso da ANPPOM","","","","Natal","",4
