AREAS-DO-CONHECIMENTO_Id,MESTRADO_Id,DOUTORADO_Id,TRABALHO-EM-EVENTOS_Id,ARTIGO-PUBLICADO_Id,LIVRO-PUBLICADO-OU-ORGANIZADO_Id,CAPITULO-DE-LIVRO-PUBLICADO_Id,TEXTO-EM-JORNAL-OU-REVISTA_Id,APRESENTACAO-DE-TRABALHO_Id,CURSO-DE-CURTA-DURACAO-MINISTRADO_Id,DESENVOLVIMENTO-DE-MATERIAL-DIDATICO-OU-INSTRUCIONAL_Id,ORGANIZACAO-DE-EVENTO_Id,PROGRAMA-DE-RADIO-OU-TV_Id,OUTRA-PRODUCAO-TECNICA_Id,OUTRA-PRODUCAO-ARTISTICA-CULTURAL_Id,ARTES-CENICAS_Id,MUSICA_Id,ORIENTACOES-CONCLUIDAS-PARA-MESTRADO_Id,OUTRAS-ORIENTACOES-CONCLUIDAS_Id,PARTICIPACAO-EM-BANCA-DE-MESTRADO_Id,PARTICIPACAO-EM-BANCA-DE-DOUTORADO_Id,PARTICIPACAO-EM-BANCA-DE-EXAME-QUALIFICACAO_Id,PARTICIPACAO-EM-BANCA-DE-GRADUACAO_Id,BANCA-JULGADORA-PARA-CONCURSO-PUBLICO_Id,OUTRAS-BANCAS-JULGADORAS_Id,PARTICIPACAO-EM-CONGRESSO_Id,OUTRAS-PARTICIPACOES-EM-EVENTOS-CONGRESSOS_Id,ORIENTACAO-EM-ANDAMENTO-DE-MESTRADO_Id,ORIENTACAO-EM-ANDAMENTO-DE-DOUTORADO_Id
78,,,,,,,,,,,,,,,,12,,,,,,,,,,,,
79,,,,,,,,,,,,,,,,13,,,,,,,,,,,,
80,,,,,,,,,,,,,,,,14,,,,,,,,,,,,
81,,,,,,,,,,,,,,,,15,,,,,,,,,,,,
82,,,,,,,,,,,,,,,,16,,,,,,,,,,,,
83,,,,,,,,,,,,,,,,17,,,,,,,,,,,,
84,,,,,,,,,,,,,,,,,0,,,,,,,,,,,
85,,,,,,,,,,,,,,,,,1,,,,,,,,,,,
86,,,,,,,,,,,,,,,,,2,,,,,,,,,,,
87,,,,,,,,,,,,,,,,,3,,,,,,,,,,,
88,,,,,,,,,,,,,,,,,4,,,,,,,,,,,
89,,,,,,,,,,,,,,,,,5,,,,,,,,,,,
90,,,,,,,,,,,,,,,,,6,,,,,,,,,,,
91,,,,,,,,,,,,,,,,,7,,,,,,,,,,,
92,,,,,,,,,,,,,,,,,,0,,,,,,,,,,
93,,,,,,,,,,,,,,,,,,1,,,,,,,,,,
94,,,,,,,,,,,,,,,,,,2,,,,,,,,,,
95,,,,,,,,,,,,,,,,,,3,,,,,,,,,,
96,,,,,,,,,,,,,,,,,,4,,,,,,,,,,
97,,,,,,,,,,,,,,,,,,5,,,,,,,,,,
98,,,,,,,,,,,,,,,,,,6,,,,,,,,,,
99,,,,,,,,,,,,,,,,,,7,,,,,,,,,,
100,,,,,,,,,,,,,,,,,,8,,,,,,,,,,
101,,,,,,,,,,,,,,,,,,9,,,,,,,,,,
102,,,,,,,,,,,,,,,,,,10,,,,,,,,,,
103,,,,,,,,,,,,,,,,,,11,,,,,,,,,,
104,,,,,,,,,,,,,,,,,,12,,,,,,,,,,
105,,,,,,,,,,,,,,,,,,13,,,,,,,,,,
106,,,,,,,,,,,,,,,,,,14,,,,,,,,,,
107,,,,,,,,,,,,,,,,,,15,,,,,,,,,,
108,,,,,,,,,,,,,,,,,,16,,,,,,,,,,
109,,,,,,,,,,,,,,,,,,17,,,,,,,,,,
110,,,,,,,,,,,,,,,,,,18,,,,,,,,,,
111,,,,,,,,,,,,,,,,,,19,,,,,,,,,,
112,,,,,,,,,,,,,,,,,,,1,,,,,,,,,
113,,,,,,,,,,,,,,,,,,,2,,,,,,,,,
114,,,,,,,,,,,,,,,,,,,3,,,,,,,,,
115,,,,,,,,,,,,,,,,,,,4,,,,,,,,,
116,,,,,,,,,,,,,,,,,,,5,,,,,,,,,
117,,,,,,,,,,,,,,,,,,,6,,,,,,,,,
118,,,,,,,,,,,,,,,,,,,7,,,,,,,,,
119,,,,,,,,,,,,,,,,,,,8,,,,,,,,,
120,,,,,,,,,,,,,,,,,,,9,,,,,,,,,
121,,,,,,,,,,,,,,,,,,,10,,,,,,,,,
122,,,,,,,,,,,,,,,,,,,11,,,,,,,,,
123,,,,,,,,,,,,,,,,,,,12,,,,,,,,,
124,,,,,,,,,,,,,,,,,,,,0,,,,,,,,
125,,,,,,,,,,,,,,,,,,,,1,,,,,,,,
126,,,,,,,,,,,,,,,,,,,,2,,,,,,,,
127,,,,,,,,,,,,,,,,,,,,,0,,,,,,,
128,,,,,,,,,,,,,,,,,,,,,1,,,,,,,
129,,,,,,,,,,,,,,,,,,,,,2,,,,,,,
130,,,,,,,,,,,,,,,,,,,,,3,,,,,,,
131,,,,,,,,,,,,,,,,,,,,,4,,,,,,,
132,,,,,,,,,,,,,,,,,,,,,5,,,,,,,
