OUTRA-PRODUCAO-TECNICA_Id,SEQUENCIA-PRODUCAO,DEMAIS-TIPOS-DE-PRODUCAO-TECNICA_Id
0,"38",0
1,"39",0
2,"47",0
3,"129",0
4,"130",0
5,"131",0
6,"132",0
7,"157",0
8,"128",0
