NOME-DO-EVENTO,CODIGO-INSTITUICAO,NOME-INSTITUICAO,LOCAL-DO-EVENTO,CIDADE-DO-EVENTO,NOME-DO-EVENTO-INGLES,PARTICIPACAO-EM-SIMPOSIO_Id
"Seminário Internacional de Música Popular e Política","","","","Campinas","",0
"II Simpósio O samba mandou me chamar","","","","Salvador","",1
