PROGRAMA-DE-RADIO-OU-TV_Id,SEQUENCIA-PRODUCAO,DEMAIS-TIPOS-DE-PRODUCAO-TECNICA_Id
0,"100",0
1,"101",0
2,"104",0
3,"106",0
4,"113",0
5,"127",0
6,"161",0
7,"162",0
8,"163",0
9,"188",0
10,"55",0
11,"56",0
12,"57",0
13,"58",0
14,"59",0
15,"60",0
16,"99",0
17,"168",0
