IDIOMA,DESCRICAO-DO-IDIOMA,PROFICIENCIA-DE-LEITURA,PROFICIENCIA-DE-FALA,PROFICIENCIA-DE-ESCRITA,PROFICIENCIA-DE-COMPREENSAO,IDIOMAS_Id
"EN","Inglês","BEM","RAZOAVELMENTE","BEM","BEM",0
"IT","Italiano","BEM","BEM","BEM","BEM",0
"ES","Espanhol","BEM","RAZOAVELMENTE","POUCO","BEM",0
"FR","Francês","BEM","POUCO","POUCO","RAZOAVELMENTE",0
