OUTRAS-BANCAS-JULGADORAS_Id,SEQUENCIA-PRODUCAO,PARTICIPACAO-EM-BANCA-JULGADORA_Id
0,"89",0
1,"90",0
2,"91",0
3,"92",0
4,"93",0
5,"94",0
6,"95",0
7,"96",0
8,"97",0
9,"98",0
10,"112",0
11,"88",0
