NATUREZA,TIPO,TITULO,ANO,PAIS,IDIOMA,HOME-PAGE,DOI,TITULO-INGLES,PARTICIPACAO-EM-BANCA-DE-MESTRADO_Id
"Mestrado","ACADEMICO","O ensino do canto popular brasileiro. Abordagem didática: técnica vocal e performance","2012","Brasil","Português","","","",0
"Mestrado","ACADEMICO","Cor Mio, Coro Mio, Curumim: história, análise de seis peças de um repertório multicultural para coro infantil e estratégias lúdicas do Coro Curumim da Associação Cultural Cantosospeso, entre 1993 e 2003, em Milão, Itália","2013","Brasil","Português","","","",1
"Mestrado","ACADEMICO","Cantar como prática da liberdade","2014","Brasil","Português","","","",2
"Mestrado","ACADEMICO","A formação e as práticas de ensino de professores de canto popular: perspectivas de professores da cidade de Florianópolis - SC","2015","Brasil","Português","","","",3
"Mestrado","ACADEMICO","As Técnicas Vocais no Canto Popular Brasileiro: processos de aprendizagem informal e formalização do ensino","2015","Brasil","Português","","","",4
"Mestrado","ACADEMICO","Elizeth Cardoso e o canto urbano brasileiro: cinco décadas em cinco momentos","2015","Brasil","Português","","","",5
"Mestrado","ACADEMICO","Análise da Performance Vocal em Canção Popular Brasileira dos alunos do Bacharelado em Música Popular da Faculdade de Artes e Design da Universidad Nacional de Cuyo (Mendoza, AR) - uma contribuição para o ensino do canto popular no contexto latino-americano","2016","Brasil","Português","","","",6
"Mestrado","ACADEMICO","Segredo e revelação: análise semiótica do comportamento vocal em Caetano Veloso","2016","Brasil","Português","","","",7
"Mestrado","ACADEMICO","O ensino do canto popular na universidade pública brasileira: um estudo seobre as práticas pedagógicas","2017","Brasil","Português","","","",8
"Mestrado","ACADEMICO","Romaria, um percurso para o interior: vivência a partir do eixo Co-habitar com a Fonte do método Bailarino-Pesquisador-Intérprete (BPI)","2017","Brasil","Português","","","",9
"Mestrado","ACADEMICO","Sacundim: o scat singing de Filó Machado na interpretação de 'Take Five'","2017","Brasil","Português","","","",10
"Mestrado","ACADEMICO","A hora da voz, a vez da palavra: a poética-musical da Bossa Nova e da Seconda Pratica","2017","Brasil","Português","","","A hora da voz, a vez da palavra: a poética-musical da Bossa Nova e da Seconda Pratica",11
"Mestrado","ACADEMICO","Sambop --scat singing brasileiro a partir da obra de Leny Andrade (1958 - 1965)","2013","Brasil","Português","","","",12
