NATUREZA,TITULO-DO-TRABALHO,ANO,PAIS,IDIOMA,HOME-PAGE,DOI,TITULO-DO-TRABALHO-INGLES,ORIENTACAO-EM-ANDAMENTO-DE-DOUTORADO_Id
"Tese de doutorado","A Voz do Dono: assinatura vocal no canto brasileiro popular","2016","Brasil","Português","","","",0
"Tese de doutorado","O cantor e o canto popular formalizado: um estudo de caso múltiplo sobre o ensino dos conservatórios e escolas técnicas","2017","Brasil","Português","","","",1
