SEQUENCIA-FORMACAO,NIVEL,CARGA-HORARIA,CODIGO-INSTITUICAO,NOME-INSTITUICAO,CODIGO-ORGAO,NOME-ORGAO,CODIGO-CURSO,NOME-CURSO,STATUS-DO-CURSO,ANO-DE-INICIO,ANO-DE-CONCLUSAO,NOME-CURSO-INGLES,FORMACAO-COMPLEMENTAR_Id
"6","Y","","485700000008","Museu de Arte de Sao Paulo","","","90000006","Psicologia da Música","CONCLUIDO","1981","1981","",0
"8","Y","","000400000997","Conservatório Musical do Brooklin Paulista","","","90000009","Canto Lírico","CONCLUIDO","1980","1983","",0
"12","Y","","001400000995","Canto do Brasil Atividade e Ensino Musical","","","90000017","Improvisação Livre com Stênio Mendes","CONCLUIDO","2010","2010","",0
"15","Y","3","001400000995","Canto do Brasil Atividade e Ensino Musical","","","90000020","Workshop Jazz Vocal","CONCLUIDO","2011","2011","",0
"17","Y","7","002100000998","Vocal SP Grupo de Estudos","","","90000034","Workshop Somatic Voicework The Lovetri Method","CONCLUIDO","2017","2017","",0
"3","Y","","000100000991","Instituto Italiano de Cultura","","","90000004","Língua Italiana","CONCLUIDO","1980","1983","",0
