TITULO-DO-PERIODICO-OU-REVISTA,ISSN,VOLUME,FASCICULO,SERIE,PAGINA-INICIAL,PAGINA-FINAL,LOCAL-DE-PUBLICACAO,ARTIGO-PUBLICADO_Id
"Revista Brasileira de Estudos da Canção","22381198","4","","juldez2013","1/1","8","",0
"Estudos Semióticos (USP)","19804016","12","","2","29","","",1
