FINALIDADE,INSTITUICAO-PROMOTORA,LOCAL,CIDADE,FINALIDADE-INGLES,OUTRA-PRODUCAO-TECNICA_Id
"","Dabliu Discos","","","",0
"","Canto Dicos","","","",1
"","Canto Discos","São Paulo","São Paulo","",2
"Participação especial como cantora e compositora no cd trilha do espetáculo","Azul Music","Estudio Zabumba","São Paulo","",3
"Pariticpação especial como cantora e compositora","Independente","Estudio Jardel Caetano","São Paulo","",4
"Participação especial como cantora no cd do compositor Inacio Zats","Dabliu Discos","Estudio Tamos Aí","São Paulo","",5
"Direção de voz em estúdio","Biscoito Fino","Estudio Zabumba","São Paulo","",6
"Cd dedicado à obra do compositor Tom Zé","Canto Discos","","São Paulo","",7
"Participação especial como cantora","","Estudio Flautim 55","São Paulo","",8
