BANCA-JULGADORA-PARA-CONCURSO-PUBLICO_Id,SEQUENCIA-PRODUCAO,PARTICIPACAO-EM-BANCA-JULGADORA_Id
0,"32",0
1,"37",0
2,"43",0
3,"63",0
4,"108",0
5,"117",0
6,"146",0
7,"147",0
8,"165",0
