NATUREZA,TITULO,ANO,PAIS,IDIOMA,MEIO-DE-DIVULGACAO,HOME-PAGE-DO-TRABALHO,FLAG-RELEVANCIA,TIPO-PARTICIPACAO,FORMA-PARTICIPACAO,DOI,TITULO-INGLES,FLAG-DIVULGACAO-CIENTIFICA,PARTICIPACAO-EM-SIMPOSIO_Id
"Simpósio","Show musical "Mulheres à mostra"","2017","Brasil","","NAO_INFORMADO","","NAO","Simposista","Convidado","","","NAO",0
"Simpósio","Do coccix até o fim do mundo - dois tempos de Elza Soares","2016","Brasil","","NAO_INFORMADO","","NAO","Apresentação oral","Participante","","Do coccix até o fim do mundo - dois tempos de Elza Soares","NAO",1
