NATUREZA,TITULO,ANO,PAIS,IDIOMA,MEIO-DE-DIVULGACAO,HOME-PAGE,FLAG-RELEVANCIA,TITULO-INGLES,FLAG-DIVULGACAO-CIENTIFICA,MUSICA_Id
"INTERPRETACAO","Sobre a Paixão","2000","Brasil","Português","MEIO_DIGITAL","www.reginamachado.com.br","SIM","","NAO",0
"INTERPRETACAO","Pulsar","2004","Brasil","Português","VARIOS","www.reginamachado.com.br","NAO","","NAO",1
"INTERPRETACAO","PULSAR                   Sesc Ipiranga","2005","Brasil","Português","VARIOS","www.reginamachado.com.br","NAO","","NAO",2
"INTERPRETACAO","Projeto Cunhantã","1987","Brasil","Português","OUTRO","","NAO","","NAO",3
"INTERPRETACAO","Passeando pelo blues","1987","Brasil","Português","OUTRO","","NAO","","NAO",4
"INTERPRETACAO","Passeando pelo blues","1988","Brasil","Português","OUTRO","","NAO","","NAO",5
"APRESENTACAO_DE_OBRA","Rosa dos Ventos da MPB","1989","Brasil","Português","OUTRO","","NAO","","NAO",6
"INTERPRETACAO","Concerto Didático sobre a Canção Popular Brasileira","1994","Brasil","Português","OUTRO","","NAO","","NAO",7
"INTERPRETACAO","Sobre a Paixão","2000","Brasil","Português","OUTRO","","NAO","","NAO",8
"INTERPRETACAO","Inverno Cultural de São João Del Rei","2008","Brasil","Português","VARIOS","","NAO","","NAO",9
"INTERPRETACAO","agora o céu vai ficando claro      Café Photosophia","2010","Brasil","Português","MEIO_DIGITAL","http://photosophia.blogspot.com","NAO","","NAO",10
"INTERPRETACAO","agora o céu vai ficando claro     Casa de Francisca SP","2010","Brasil","Português","VARIOS","www.casadefrancisca.art.br","NAO","","NAO",11
"INTERPRETACAO","agora o céu vai ficando claro   Teatro Eva Hertz","2010","Brasil","Português","VARIOS","www.livrariacultura.com.br","NAO","","NAO",12
"INTERPRETACAO","agora o céu vai ficando claro         Sesc Vila Mariana","2010","Brasil","Português","VARIOS","www.sescsp.org.br","NAO","","NAO",13
"INTERPRETACAO","agora o céu vai ficando claro Projeto Comboio de Cordas Teatro da Vila SP","2010","Brasil","Português","VARIOS","www.comboiodecordas.pilarcultural.org","NAO","","NAO",14
"INTERPRETACAO","agora o céu vai ficando claro Teatro Arthur Rubinstein","2010","Brasil","Português","VARIOS","www.hebraica.org.br","NAO","","NAO",15
"DIVERSAS","Quantas bocas a cidade vai abrir","2015","Brasil","Português","MEIO_DIGITAL","","NAO","","NAO",16
"DIVERSAS","Aula-sow sobre O Samba Paulista","2016","Brasil","Português","VARIOS","","NAO","Aula-sow sobre O Samba Paulista","NAO",17
"INTERPRETACAO","Tua Presença","1990","Brasil","Português","OUTRO","","NAO","","NAO",18
