PARTICIPACAO-EM-BANCA-DE-MESTRADO_Id,SEQUENCIA-PRODUCAO,PARTICIPACAO-EM-BANCA-TRABALHOS-CONCLUSAO_Id
0,"65",0
1,"118",0
2,"125",0
3,"148",0
4,"149",0
5,"160",0
6,"174",0
7,"176",0
8,"186",0
9,"199",0
10,"202",0
11,"203",0
12,"110",0
