MUSICA_Id,SEQUENCIA-PRODUCAO,PRODUCAO-ARTISTICA-CULTURAL_Id
0,"1",0
1,"2",0
2,"5",0
3,"15",0
4,"16",0
5,"17",0
6,"18",0
7,"20",0
8,"21",0
9,"27",0
10,"49",0
11,"50",0
12,"51",0
13,"52",0
14,"53",0
15,"54",0
16,"170",0
17,"183",0
18,"19",0
