NIVEL-DO-CURSO,TITULO,ANO,PAIS,IDIOMA,MEIO-DE-DIVULGACAO,HOME-PAGE-DO-TRABALHO,FLAG-RELEVANCIA,DOI,TITULO-INGLES,FLAG-DIVULGACAO-CIENTIFICA,CURSO-DE-CURTA-DURACAO-MINISTRADO_Id
"OUTRA","Técnica Vocal aplicada à canção brasileira","2000","Brasil","Português","VARIOS","","NAO","","","NAO",0
"OUTRA","Voz e Expressividade: O intérprete como tradutor dos sentidos da canção","2012","Brasil","Português","VARIOS","","NAO","","","NAO",1
"OUTRA","A voz e a canção","1993","Brasil","Português","VARIOS","","NAO","","","NAO",2
"ESPECIALIZACAO","A voz na canção popular brasileira: técnica, análise e interpretação","2013","Brasil","Português","MEIO_DIGITAL","","NAO","","A voz na canção popular brasileira: técnica, análise e interpretação","NAO",3
"OUTRA","As vozes do rádio entre os anos 1940 e 1950","2013","Brasil","Português","VARIOS","","NAO","","As vozes do rádio entre os anos 1940 e 1950","SIM",4
"OUTRA","A voz em estúdio","1994","Brasil","Português","VARIOS","","NAO","","","NAO",5
"OUTRA","Oficina de Canto Popular","2015","Brasil","Português","VARIOS","","NAO","","","NAO",6
"ESPECIALIZACAO","Canto no Brasil: breve história das vozes na canção popular","2015","Brasil","Português","VARIOS","","NAO","","","NAO",7
"ESPECIALIZACAO","A voz na canção popular: análise, técnica e interpretação","2015","Brasil","Português","VARIOS","","NAO","","","NAO",8
"ESPECIALIZACAO","A voz na canção popular brasileira - análise, técnica e interpretação","2016","Brasil","Português","MEIO_DIGITAL","","NAO","","","NAO",9
"EXTENSAO","A voz na canção popular brasileira - técnica, análise e interpretação","2017","Brasil","Português","NAO_INFORMADO","","NAO","","","NAO",10
"OUTRA","Uma breve história do canto na canção popular brasileira","2006","Argentina","Português","VARIOS","","NAO","","","NAO",11
"OUTRA","VI Festival de Música de Ourinhos - Oficina de Canto Popular","2006","Brasil","Português","VARIOS","","NAO","","","NAO",12
"OUTRA","Técnica vocal na canção popular brasileira","2006","Argentina","Português","OUTRO","","NAO","","","NAO",13
