PALAVRA-CHAVE-1,PALAVRA-CHAVE-2,PALAVRA-CHAVE-3,PALAVRA-CHAVE-4,PALAVRA-CHAVE-5,PALAVRA-CHAVE-6,MESTRADO_Id,DOUTORADO_Id,TRABALHO-EM-EVENTOS_Id,ARTIGO-PUBLICADO_Id,LIVRO-PUBLICADO-OU-ORGANIZADO_Id,CAPITULO-DE-LIVRO-PUBLICADO_Id,TEXTO-EM-JORNAL-OU-REVISTA_Id,APRESENTACAO-DE-TRABALHO_Id,CURSO-DE-CURTA-DURACAO-MINISTRADO_Id,DESENVOLVIMENTO-DE-MATERIAL-DIDATICO-OU-INSTRUCIONAL_Id,ORGANIZACAO-DE-EVENTO_Id,PROGRAMA-DE-RADIO-OU-TV_Id,OUTRA-PRODUCAO-TECNICA_Id,OUTRA-PRODUCAO-ARTISTICA-CULTURAL_Id,ARTES-CENICAS_Id,MUSICA_Id,ORIENTACOES-CONCLUIDAS-PARA-MESTRADO_Id,OUTRAS-ORIENTACOES-CONCLUIDAS_Id,PARTICIPACAO-EM-BANCA-DE-MESTRADO_Id,PARTICIPACAO-EM-BANCA-DE-DOUTORADO_Id,PARTICIPACAO-EM-BANCA-DE-EXAME-QUALIFICACAO_Id,PARTICIPACAO-EM-BANCA-DE-GRADUACAO_Id,BANCA-JULGADORA-PARA-CONCURSO-PUBLICO_Id,OUTRAS-BANCAS-JULGADORAS_Id,PARTICIPACAO-EM-CONGRESSO_Id,OUTRAS-PARTICIPACOES-EM-EVENTOS-CONGRESSOS_Id,ORIENTACAO-EM-ANDAMENTO-DE-MESTRADO_Id,ORIENTACAO-EM-ANDAMENTO-DE-DOUTORADO_Id
"canto popular","canção popular","Programa de Rádio","","","",,,,,,,,,,,,12,,,,,,,,,,,,,,,,
"canção popular","canto popular","Programa de Rádio","","","",,,,,,,,,,,,13,,,,,,,,,,,,,,,,
"canção popular","canto popular","Programa de Rádio","Música Popular","","",,,,,,,,,,,,14,,,,,,,,,,,,,,,,
"canção popular","canto popular","Programa de TV por internet","","","",,,,,,,,,,,,15,,,,,,,,,,,,,,,,
"Radio CUltura de Porto Alegre","Canto","CD","","","",,,,,,,,,,,,16,,,,,,,,,,,,,,,,
"Tom Zé","Canto","Multiplicar-se única","","","",,,,,,,,,,,,17,,,,,,,,,,,,,,,,
"canto popular","gravação","São Paulo","","","",,,,,,,,,,,,,0,,,,,,,,,,,,,,,
"canto popular","Mario Manga","","","","",,,,,,,,,,,,,1,,,,,,,,,,,,,,,
"canção popular","CD","compositores","","","",,,,,,,,,,,,,2,,,,,,,,,,,,,,,
"trilha sonora","Canto","Composição","","","",,,,,,,,,,,,,3,,,,,,,,,,,,,,,
"Santa","Composição","canção popular","canto popular","","",,,,,,,,,,,,,4,,,,,,,,,,,,,,,
"canção popular","Canto","","","","",,,,,,,,,,,,,5,,,,,,,,,,,,,,,
"saraivada","Voz","canto popular","","","",,,,,,,,,,,,,6,,,,,,,,,,,,,,,
"canção popular","música brasileira","Música Popular","","","",,,,,,,,,,,,,7,,,,,,,,,,,,,,,
"Música","London Poem","You don't know me","","","",,,,,,,,,,,,,8,,,,,,,,,,,,,,,
"canção popular","Artes","","","","",,,,,,,,,,,,,,0,,,,,,,,,,,,,,
"canção popular","José Miguel Wisnik","","","","",,,,,,,,,,,,,,1,,,,,,,,,,,,,,
"apresentação musical","Marco Pereira","Cristóvão Bastos","Gal Costa","","",,,,,,,,,,,,,,2,,,,,,,,,,,,,,
"Improvisação Vocal","canto popular","Música","Cantos harmônicos","","",,,,,,,,,,,,,,3,,,,,,,,,,,,,,
"Composição","canção popular","canto popular","","","",,,,,,,,,,,,,,4,,,,,,,,,,,,,,
"canção popular","Composição","canto popular","","","",,,,,,,,,,,,,,5,,,,,,,,,,,,,,
"canção popular","canto popular","Composição","","","",,,,,,,,,,,,,,6,,,,,,,,,,,,,,
"canção popular","canto popular","Composição","","","",,,,,,,,,,,,,,7,,,,,,,,,,,,,,
"canção popular","canto popular","Composição","","","",,,,,,,,,,,,,,8,,,,,,,,,,,,,,
"canção popular","canto popular","Composição","","","",,,,,,,,,,,,,,9,,,,,,,,,,,,,,
"canção popular","canto popular","Composição","","","",,,,,,,,,,,,,,10,,,,,,,,,,,,,,
"canção popular","canto popular","Composição","","","",,,,,,,,,,,,,,11,,,,,,,,,,,,,,
"canção popular","canto popular","Composição","","","",,,,,,,,,,,,,,12,,,,,,,,,,,,,,
"canção popular","canto popular","Composição","","","",,,,,,,,,,,,,,13,,,,,,,,,,,,,,
"Composição","teatro musical","Os Lusíadas","","","",,,,,,,,,,,,,,14,,,,,,,,,,,,,,
"Composição","Os Lusíadas","teatro musical","","","",,,,,,,,,,,,,,15,,,,,,,,,,,,,,
"apresentação musical","canção popular","Paulo Vanzolini","","","",,,,,,,,,,,,,,16,,,,,,,,,,,,,,
"Música Popular","apresentação musical","Canto do Brasil","","","",,,,,,,,,,,,,,17,,,,,,,,,,,,,,
"apresentação musical","canto etnico","Música Popular","","","",,,,,,,,,,,,,,18,,,,,,,,,,,,,,
"apresentação musical","canção popular","Música Popular","","","",,,,,,,,,,,,,,19,,,,,,,,,,,,,,
"Música e poítica","Mulheres na música","canção popular","","","",,,,,,,,,,,,,,,0,,,,,,,,,,,,,
"Lua","São Paulo","Voz","Menina","Blume","",,,,,,,,,,,,,,,,0,,,,,,,,,,,,
"apresentação musical","canto popular","canção popular","","","",,,,,,,,,,,,,,,,3,,,,,,,,,,,,
"canção popular","canto popular","","","","",,,,,,,,,,,,,,,,4,,,,,,,,,,,,
"canção popular","canto popular","","","","",,,,,,,,,,,,,,,,5,,,,,,,,,,,,
"canção popular","canto popular","","","","",,,,,,,,,,,,,,,,6,,,,,,,,,,,,
"canção popular","canto popular","História da Música","História do Canto","","",,,,,,,,,,,,,,,,7,,,,,,,,,,,,
"canção popular","canto popular","","","","",,,,,,,,,,,,,,,,8,,,,,,,,,,,,
"canto popular","canção popular","Festival de Música","","","",,,,,,,,,,,,,,,,9,,,,,,,,,,,,
"canção popular","canto popular","Música Popular","Performance","","",,,,,,,,,,,,,,,,10,,,,,,,,,,,,
"canto popular","canção popular","Música Popular","","","",,,,,,,,,,,,,,,,11,,,,,,,,,,,,
"canção popular","canto popular","Performance","Música Popular","Voz","",,,,,,,,,,,,,,,,12,,,,,,,,,,,,
"canção popular","canto popular","Performance","Música Popular","","",,,,,,,,,,,,,,,,13,,,,,,,,,,,,
"canção popular","canto popular","Performance","Música Popular","","",,,,,,,,,,,,,,,,14,,,,,,,,,,,,
"canção popular","canto popular","Performance","Música Popular","","",,,,,,,,,,,,,,,,15,,,,,,,,,,,,
"Direção","Musical","Canção brasileira","","","",,,,,,,,,,,,,,,,16,,,,,,,,,,,,
"samba paulista","aula show","","","","",,,,,,,,,,,,,,,,17,,,,,,,,,,,,
"canção popular","canto popular","","","","",,,,,,,,,,,,,,,,18,,,,,,,,,,,,
"Canto","canção popular","","","","",,,,,,,,,,,,,,,,,0,,,,,,,,,,,
"canto,","comportamento vocal","canção popular","","","",,,,,,,,,,,,,,,,,1,,,,,,,,,,,
"canto popular","Ensino","Técnica Vocal","","","",,,,,,,,,,,,,,,,,2,,,,,,,,,,,
"Técnica de Alexander","Canto","Música","","","",,,,,,,,,,,,,,,,,3,,,,,,,,,,,
"canto popular","Improvisação","Música","","","",,,,,,,,,,,,,,,,,4,,,,,,,,,,,
"canto popular","Gal Costa","tropicalismo","","","",,,,,,,,,,,,,,,,,5,,,,,,,,,,,
"Seconda Pratica","Bossa Nova","Canto falado","","","",,,,,,,,,,,,,,,,,6,,,,,,,,,,,
"Música Popular","Improvisação","Jazz","","","",,,,,,,,,,,,,,,,,7,,,,,,,,,,,
"canto popular","canção popular","","","","",,,,,,,,,,,,,,,,,,0,,,,,,,,,,
"canto popular","canção popular","","","","",,,,,,,,,,,,,,,,,,1,,,,,,,,,,
"canção popular","canto etnico","Artes","História do Canto","","",,,,,,,,,,,,,,,,,,2,,,,,,,,,,
