NOME-DO-EVENTO,INSTITUICAO-PROMOTORA,LOCAL-DA-APRESENTACAO,CIDADE-DA-APRESENTACAO,NOME-DO-EVENTO-INGLES,APRESENTACAO-DE-TRABALHO_Id
"I Semana da Canção de São Luiz do Paraitinga","VIla 6","Museu","São Luiz do Paraitinga","",0
"Pesquisa.Música II","Fundo de Incentivo à Cultura do Estado de Pernambuco","Conservatório Pernambucano de Música","Recife","",1
"Autografias","Centro de Pesquisa e Formação do Sesc São Paulo","Centro de Pesquisa e Formação - Rua Dr Plínio Barreto 285, 4o andar","São Paulo","",2
"Curso de Extensão em Música","Conservatório de Música da Universidade Federal de Pelotas","Biblioteca Pública de Pelotas","Pelotas","",3
