NATUREZA,TITULO,ANO,PAIS,IDIOMA,FLAG-RELEVANCIA,DOI,TITULO-INGLES,HOME-PAGE,MEIO-DE-DIVULGACAO,FLAG-DIVULGACAO-CIENTIFICA,PROGRAMA-DE-RADIO-OU-TV_Id
"ENTREVISTA","Entrevista para Rádio Educadora da Bahia","2010","Brasil","Português","NAO","","","","NAO_INFORMADO","NAO",0
"ENTREVISTA","Programa Sala de Música","2010","Brasil","Português","NAO","","","","NAO_INFORMADO","NAO",1
"MESA_REDONDA","O som da voz na contemporaneidade","2012","Brasil","Português","NAO","","","","NAO_INFORMADO","NAO",2
"MESA_REDONDA","Canções: Ressignificação e Interpretação na Música Popular'","2012","Brasil","Português","NAO","","","","NAO_INFORMADO","NAO",3
"ENTREVISTA","Fala Doutor","2013","Brasil","Português","NAO","","","http://www.youtube.com/watch?v=KGnqie2qr7M","NAO_INFORMADO","SIM",4
"MESA_REDONDA","O ensino do canto popular","2013","Brasil","Português","NAO","","","http://www.encontrocancaopopular.wordpress.com","NAO_INFORMADO","NAO",5
"ENTREVISTA","Programa Antenados","2015","Brasil","Português","NAO","","","http://radiobandeirantes.band.uol.com.br/conteudo.asp?PDT=56","NAO_INFORMADO","NAO",6
"MESA_REDONDA","Canto Popular- discussões sobre ensino-aprendizagem na Universidade","2015","Brasil","Português","NAO","","","","NAO_INFORMADO","NAO",7
"ENTREVISTA","Regina Machado no Programa Cultura Brasil","2015","Brasil","Português","NAO","","","http://culturabrasil.cmais.com.br/?/regina-machado-multiplicar-se-unica","NAO_INFORMADO","NAO",8
"ENTREVISTA","Supertônica","2017","Brasil","Português","NAO","","","http://culturabrasil.cmais.com.br/programas/supertonica/2","NAO_INFORMADO","NAO",9
"ENTREVISTA","Programa Feira do Som","2010","Brasil","Português","NAO","","","","NAO_INFORMADO","NAO",10
"ENTREVISTA","Programa Tons do Brasil","2010","Brasil","Português","NAO","","","","NAO_INFORMADO","NAO",11
"ENTREVISTA","Programa Papo de Músico","2010","Brasil","Português","NAO","","","","NAO_INFORMADO","NAO",12
"ENTREVISTA","Programa Território Nacional","2010","Brasil","Português","NAO","","","","NAO_INFORMADO","NAO",13
"ENTREVISTA","Programa Galeria","2010","Brasil","Português","NAO","","","","NAO_INFORMADO","NAO",14
"ENTREVISTA","Programa Tah Ligado","2010","Brasil","Português","NAO","","","","NAO_INFORMADO","NAO",15
"ENTREVISTA","Entrevista para Rádio Cultura de Porto Alegre","2010","Brasil","Português","NAO","","","","NAO_INFORMADO","NAO",16
"ENTREVISTA","Programa Sr Brasil","2016","Brasil","Português","NAO","","","tvcultura.com.br/videos/54867_sr-brasil-17-07-2016.html","NAO_INFORMADO","NAO",17
