CODIGO-INSTITUICAO,SIGLA-INSTITUICAO,SIGLA-UF-INSTITUICAO,SIGLA-PAIS-INSTITUICAO,NOME-PAIS-INSTITUICAO,FLAG-AGENCIA-FOMENTO,FLAG-INSTITUICAO-DE-ENSINO,INFORMACOES-ADICIONAIS-INSTITUICOES_Id
"000100000991","IIC","SP","BRA","Brasil","NAO","NAO",0
"000200000993","CBEM","SP","BRA","Brasil","NAO","NAO",0
"000300000995","SECSP","SP","BRA","Brasil","SIM","NAO",0
"000400000997","CMBP","SP","BRA","Brasil","NAO","NAO",0
"000500000999","HALL","SP","BRA","Brasil","NAO","NAO",0
"000600000990","FFLCH-USP","SP","BRA","Brasil","NAO","NAO",0
"000700000992","FFLCH-USP","SP","BRA","Brasil","NAO","NAO",0
"000800000994","FAU-USP","SP","BRA","Brasil","NAO","NAO",0
"000900000996","IA-UNICAMP","SP","BRA","Brasil","SIM","NAO",0
"001000000998","ULM-OSSM","SP","BRA","Brasil","SIM","NAO",0
"001100000990","PIBIC","SP","BRA","Brasil","SIM","NAO",0
"001200000991","EMAT","SP","BRA","Brasil","NAO","NAO",0
"001300000993","EMML","SP","BRA","Brasil","NAO","NAO",0
"001400000995","CBAEM","SP","BRA","Brasil","NAO","NAO",0
"001500000997","SAE","SP","BRA","Brasil","SIM","NAO",0
"001600000999","IA-UNICAMP","SP","BRA","Brasil","NAO","NAO",0
"001601000992","","SP","BRA","Brasil","NAO","NAO",0
"001700000990","ECA-USP","SP","BRA","Brasil","NAO","NAO",0
"001800000992","ECA-USP","SP","BRA","Brasil","NAO","NAO",0
"001900000994","CEART - UDESC","SC","BRA","Brasil","NAO","NAO",0
"002000000996","DM ECA USP","SP","BRA","Brasil","NAO","NAO",0
"002100000998","VOCAL SP","SP","BRA","Brasil","NAO","NAO",0
"002200000990","FFLCH USP","SP","BRA","Brasil","NAO","NAO",0
"007100000000","PUC/SP","SP","BRA","Brasil","NAO","SIM",0
"007900000004","UNICAMP","SP","BRA","Brasil","NAO","SIM",0
"485700000008","MASP","SP","BRA","Brasil","NAO","NAO",0
"704200000001","M.S.M.","","EUA","Estados Unidos","NAO","NAO",0
"763900000000","FASM","SP","BRA","Brasil","NAO","SIM",0
