NOME_INSTITUICAO,NATUREZA,PROJETO_NOME
Advanced Micro Devices,AUXILIO_FINANCEIRO,Acelerando sistemas de recuperação de imagens por conteúdo (CBIR) com GPUs e APUs
Fundação de Amparo à Pesquisa do Estado de São Paulo,AUXILIO_FINANCEIRO,Algoritmos e suporte em hardware para projeto de máquinas virtuais eficientes
Conselho Nacional de Desenvolvimento Científico e Tecnológico,AUXILIO_FINANCEIRO,Técnicas de Formação e Identificação de Regiões Quentes e Paralelização de Laços usando Software Pipeline Desacoplado
Conselho Nacional de Desenvolvimento Científico e Tecnológico,AUXILIO_FINANCEIRO,"ExaMind: Busca, Classificação e Visualização de Dados Complexos em Grande Escala Utilizando Processamento de Alto Desempenho"
Advanced Micro Devices,AUXILIO_FINANCEIRO,Content-Based Image Retrieval (CBIR) on APU Clouds
Samsung Eletrônica da Amazônia,AUXILIO_FINANCEIRO,Modelagem de consumo de energia em dispositivos móveis baseados em processadores ARM
Fundação de Amparo à Pesquisa do Estado de São Paulo,AUXILIO_FINANCEIRO,Algoritmos e suporte em hardware para o projeto da máquina virtual Open-ISA VM
Petróleo Brasileiro - Rio de Janeiro - Matriz,AUXILIO_FINANCEIRO,Análise Elastoplástica de Poços e Estudo do Fraturamento Hidráulico em Reservatórios Carbonáticos
Microsoft Informática,AUXILIO_FINANCEIRO,Algorithms and techniques to accelerate numerical simulation in the cloud
Coordenação de Aperfeiçoamento de Pessoal de Nível Superior,AUXILIO_FINANCEIRO,DeepEyes: Visual Computing and Machine Intelligence Techniques for Digital Forensics and Electronic Surveillance
Advanced Micro Devices,AUXILIO_FINANCEIRO,Accelerating content-based image retrieval (CBIR) systems with GPUs and APUs
Conselho Nacional de Desenvolvimento Científico e Tecnológico,AUXILIO_FINANCEIRO,ChameLeon - Especialização de Arquiteturas para Sistemas Dedicados
