NOME_COMPLETO,NOME_PARA_CITACAO,FLAG_RESPONSAVEL,PROJETO_NOME
Jorge de Albuquerque Lambert,"LAMBERT, J. A.",NAO,DeepEyes: Visual Computing and Machine Intelligence Techniques for Digital Forensics and Electronic Surveillance
Jefersson Alex dos Santos,"SANTOS, J. A.",NAO,DeepEyes: Visual Computing and Machine Intelligence Techniques for Digital Forensics and Electronic Surveillance
David Menotti Gomes,"GOMES, D. M.",NAO,DeepEyes: Visual Computing and Machine Intelligence Techniques for Digital Forensics and Electronic Surveillance
"CHIACHIA, G.","CHIACHIA, G.",NAO,DeepEyes: Visual Computing and Machine Intelligence Techniques for Digital Forensics and Electronic Surveillance
Arnaldo Albuquerque de Araújo,"ARAUJO, A. A.",NAO,DeepEyes: Visual Computing and Machine Intelligence Techniques for Digital Forensics and Electronic Surveillance
Nelson Luis Saldanha da Fonseca,"FONSECA, N. L. S.",NAO,DeepEyes: Visual Computing and Machine Intelligence Techniques for Digital Forensics and Electronic Surveillance
Flavio de Barros Vidal,"VIDAL, F. B.",NAO,DeepEyes: Visual Computing and Machine Intelligence Techniques for Digital Forensics and Electronic Surveillance
Dibio Leandro Borges,"BORGES, D. L.",NAO,DeepEyes: Visual Computing and Machine Intelligence Techniques for Digital Forensics and Electronic Surveillance
Edson Borin,"BORIN, E.;BORIN, EDSON",SIM,Integração de computação heterogênea e computação na nuvem para solução de problemas de engenharia e ciência
Mauricio Breternitz Jr.,"BRETERNITZ JR., M",NAO,Integração de computação heterogênea e computação na nuvem para solução de problemas de engenharia e ciência
Ricardo da Silva Torres,"TORRES, R. S.",NAO,Integração de computação heterogênea e computação na nuvem para solução de problemas de engenharia e ciência
Daniel Carlos Guimarães Pedronette,"PEDRONETTE, D. C. G.",NAO,Integração de computação heterogênea e computação na nuvem para solução de problemas de engenharia e ciência
Marco Lúcio Bittencourt,"BITTENCOURT, M. L.",NAO,Integração de computação heterogênea e computação na nuvem para solução de problemas de engenharia e ciência
Philippe Remy Bernard Devloo,"DEVLOO, P. R. B.",NAO,Integração de computação heterogênea e computação na nuvem para solução de problemas de engenharia e ciência
Sônia Maria Gomes,"GOMES, S. M.",NAO,Integração de computação heterogênea e computação na nuvem para solução de problemas de engenharia e ciência
Juliana Freitag Borin,"BORIN, J. F.",NAO,Integração de computação heterogênea e computação na nuvem para solução de problemas de engenharia e ciência
Edson Borin,"BORIN, E.;BORIN, EDSON",NAO,"Desenvolvimento e aplicação prática de técnicas de processamento, regularização e imageamento baseadas na tecnologia 3D HPC CRS no domínio pré-empilhado."
Caian Benedicto,"BENEDICTO, C.",NAO,"Desenvolvimento e aplicação prática de técnicas de processamento, regularização e imageamento baseadas na tecnologia 3D HPC CRS no domínio pré-empilhado."
Ian Rodrigues,"RODRIGUES, I.",NAO,"Desenvolvimento e aplicação prática de técnicas de processamento, regularização e imageamento baseadas na tecnologia 3D HPC CRS no domínio pré-empilhado."
Jorge Faccipieri,"FACCIPIERI, J.",NAO,"Desenvolvimento e aplicação prática de técnicas de processamento, regularização e imageamento baseadas na tecnologia 3D HPC CRS no domínio pré-empilhado."
Martin Tygel,"TYGEL, M.",SIM,"Desenvolvimento e aplicação prática de técnicas de processamento, regularização e imageamento baseadas na tecnologia 3D HPC CRS no domínio pré-empilhado."
Tiago Antonio Alves Coimbra,"COIMBRA, T. A. A.",NAO,"Desenvolvimento e aplicação prática de técnicas de processamento, regularização e imageamento baseadas na tecnologia 3D HPC CRS no domínio pré-empilhado."
Danny Rueda,"RUEDA, D.",NAO,"Desenvolvimento e aplicação prática de técnicas de processamento, regularização e imageamento baseadas na tecnologia 3D HPC CRS no domínio pré-empilhado."
Alcides Goldoni Junior,"GOLDONI JUNIOR, A.",NAO,"Desenvolvimento e aplicação prática de técnicas de processamento, regularização e imageamento baseadas na tecnologia 3D HPC CRS no domínio pré-empilhado."
Edson Borin,"BORIN, E.;BORIN, EDSON",NAO,Algoritmos de processamento e Imageamento Sísmico com Ênfase em Reservatórios Carbonáticos
Caian Benedicto,"BENEDICTO, C.",NAO,Algoritmos de processamento e Imageamento Sísmico com Ênfase em Reservatórios Carbonáticos
Ian Rodrigues,"RODRIGUES, I.",NAO,Algoritmos de processamento e Imageamento Sísmico com Ênfase em Reservatórios Carbonáticos
Jorge Faccipieri,"FACCIPIERI, J.",NAO,Algoritmos de processamento e Imageamento Sísmico com Ênfase em Reservatórios Carbonáticos
Martin Tygel,"TYGEL, M.",SIM,Algoritmos de processamento e Imageamento Sísmico com Ênfase em Reservatórios Carbonáticos
Tiago Antonio Alves Coimbra,"COIMBRA, T. A. A.",NAO,Algoritmos de processamento e Imageamento Sísmico com Ênfase em Reservatórios Carbonáticos
Danny Rueda,"RUEDA, D.",NAO,Algoritmos de processamento e Imageamento Sísmico com Ênfase em Reservatórios Carbonáticos
Edson Borin,"BORIN, E.;BORIN, EDSON",SIM,Accelerating content-based image retrieval (CBIR) systems with GPUs and APUs
Ricardo da Silva Torres,"TORRES, R. S.",NAO,Accelerating content-based image retrieval (CBIR) systems with GPUs and APUs
Daniel Carlos Guimarães Pedronette,"PEDRONETTE, D. C. G.",NAO,Accelerating content-based image retrieval (CBIR) systems with GPUs and APUs
Edson Borin,"BORIN, E.;BORIN, EDSON",NAO,ChameLeon - Especialização de Arquiteturas para Sistemas Dedicados
Felipe Klein,"KLEIN, F.",NAO,ChameLeon - Especialização de Arquiteturas para Sistemas Dedicados
Sandro Rigo,"RIGO, S.",NAO,ChameLeon - Especialização de Arquiteturas para Sistemas Dedicados
Paulo Cesar Centoducatte,"CENTODUCATTE, P. C.",NAO,ChameLeon - Especialização de Arquiteturas para Sistemas Dedicados
Ricardo Ribeiro dos Santos,"SANTOS, R. R.",NAO,ChameLeon - Especialização de Arquiteturas para Sistemas Dedicados
Guido Araujo,"ARAUJO, G.",NAO,ChameLeon - Especialização de Arquiteturas para Sistemas Dedicados
Rodolfo Jardim de Azevedo,"AZEVEDO, R. J.",SIM,ChameLeon - Especialização de Arquiteturas para Sistemas Dedicados
Valdiney Alves Pimenta,"PIMENTA, V. A.",NAO,ChameLeon - Especialização de Arquiteturas para Sistemas Dedicados
Marilia Chiozo,"CHIOZO, M.",NAO,ChameLeon - Especialização de Arquiteturas para Sistemas Dedicados
