SITUACAO,TITULO,ANO_DO_ARTIGO
COMPLETO,Dynamic binary control-flow errors detection,2005
COMPLETO,Microcode Compression using Structured-constrained Clustering,2012
COMPLETO,Efficient datapath merging for partially reconfigurable architectures,2005
COMPLETO,An automatic energy consumption characterization of processors using ArchC,2013
COMPLETO,"Uma abordagem para o ensino de linguagem de montagem, arquitetura e organização de computadores",2013
COMPLETO,Accelerating engineering software on modern multi-core processors,2015
COMPLETO,Uma plataforma para o ensino de organização de computadores e linguagem de montagem,2014
COMPLETO,Performance implications of dynamic memory allocators on transactional memory systems,2015
COMPLETO,"Handling IoT platform heterogeneity with COISA, a compact OpenISA virtual platform",2016
COMPLETO,Contextual Spaces Re-Ranking: accelerating the Re-sort Ranked Lists step on heterogeneous systems,2016
